State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Alabama,Monroe County,5771,4310,88,10185,REP
Alabama,Bullock County,1139,3530,22,4701,DEM
Alabama,Dale County,13798,4408,349,18617,REP
Alabama,Mobile County,91087,68429,3113,163387,REP
Alabama,Wilcox County,1737,4329,22,6095,DEM
Alabama,Houston County,30567,10547,772,42030,REP
Alabama,Sumter County,1581,4739,57,6391,DEM
Alabama,Cleburne County,5738,684,90,6532,REP
Alabama,Lauderdale County,27735,9877,981,38813,REP
Alabama,Dallas County,5784,12826,96,18730,DEM
Alabama,Hale County,3172,4772,54,8010,DEM
Alabama,DeKalb County,21779,3682,469,26086,REP
Alabama,Coffee County,15825,4194,392,20513,REP
Alabama,Talladega County,20596,12108,409,33218,REP
Alabama,Morgan County,37392,11216,1165,49991,REP
Alabama,Perry County,1403,3823,23,5255,DEM
Alabama,Butler County,4891,3716,65,8685,REP
Alabama,Montgomery County,33928,58669,1486,94572,DEM
Alabama,Coosa County,3376,1780,53,5223,REP
Alabama,Franklin County,9466,2197,238,11955,REP
Alabama,Autauga County,18110,5908,538,24661,REP
Alabama,Elmore County,27619,8436,738,36905,REP
Alabama,Limestone County,28824,9340,1036,39400,REP
Alabama,Lawrence County,10732,3611,249,14623,REP
Alabama,Jefferson County,130614,151581,6407,290111,DEM
Alabama,Shelby County,72846,22927,2956,99208,REP
Alabama,Pickens County,5454,3972,49,9494,REP
Alabama,Tuscaloosa County,47701,31746,1871,81708,REP
Alabama,Tallapoosa County,12967,5271,217,18504,REP
Alabama,Chilton County,15068,2909,226,18255,REP
Alabama,Colbert County,16718,7296,506,24626,REP
Alabama,Lowndes County,1751,4882,32,6676,DEM
Alabama,St. Clair County,31579,5550,678,37937,REP
Alabama,Marshall County,29217,4913,677,34965,REP
Alabama,Washington County,6031,2366,73,8492,REP
Alabama,Winston County,9225,871,130,10255,REP
Alabama,Macon County,1394,7237,69,8748,DEM
Alabama,Clarke County,7109,5712,98,12936,REP
Alabama,Marion County,11273,1432,181,12912,REP
Alabama,Cherokee County,8809,1524,145,10503,REP
Alabama,Bibb County,6733,1874,124,8748,REP
Alabama,Calhoun County,32803,13197,1114,47376,REP
Alabama,Cullman County,32734,3730,682,37278,REP
Alabama,Jackson County,16643,3663,389,20785,REP
Alabama,Russell County,9210,9577,281,19136,DEM
Alabama,Walker County,24208,4486,454,29243,REP
Alabama,Geneva County,9967,1522,147,11659,REP
Alabama,Clay County,5230,1234,92,6572,REP
Alabama,Covington County,13222,2379,181,15818,REP
Alabama,Chambers County,7803,5763,168,13778,REP
Alabama,Greene County,838,4006,13,4862,DEM
Alabama,Conecuh County,3413,3069,51,6543,REP
Alabama,Barbour County,5431,4848,93,10390,REP
Alabama,Etowah County,32132,10350,829,43474,REP
Alabama,Randolph County,7697,2290,124,10130,REP
Alabama,Escambia County,10282,4698,195,15213,REP
Alabama,Pike County,7681,5039,257,13025,REP
Alabama,Fayette County,6705,1358,109,8196,REP
Alabama,Blount County,22808,2150,337,25384,REP
Alabama,Baldwin County,72780,18409,2448,94090,REP
Alabama,Marengo County,5224,5607,104,10948,DEM
Alabama,Madison County,89199,62435,6591,159473,REP
Alabama,Crenshaw County,4511,1663,64,6252,REP
Alabama,Lee County,34321,20987,1998,57668,REP
Alabama,Lamar County,5819,1035,62,6931,REP
Alabama,Henry County,5623,2286,91,8017,REP
Alabama,Choctaw County,4102,3109,51,7268,REP
