State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Alaska,Juneau City and Borough,,,,,DEM
Alaska,Matanuska-Susitna Borough,,,,,DEM
Alaska,Denali Borough,,,,,DEM
Alaska,Haines Borough,,,,,DEM
Alaska,Wrangell City and Borough,,,,,DEM
Alaska,North Slope Borough,,,,,DEM
Alaska,Bethel Census Area,,,,,DEM
Alaska,Wade Hampton Census Area,,,,,DEM
Alaska,Northwest Arctic Borough,,,,,DEM
Alaska,Fairbanks North Star Borough,,,,,DEM
Alaska,Anchorage Municipality,,,,,DEM
Alaska,Prince of Wales-Hyder Census Area,,,,,DEM
Alaska,Skagway Municipality,,,,,DEM
Alaska,Sitka City and Borough,,,,,DEM
Alaska,Bristol Bay Borough,,,,,DEM
Alaska,Valdez-Cordova Census Area,,,,,DEM
Alaska,Aleutians East Borough,,,,,DEM
Alaska,Aleutians West Census Area,,,,,DEM
Alaska,Kodiak Island Borough,,,,,DEM
Alaska,Nome Census Area,,,,,DEM
Alaska,Ketchikan Gateway Borough,,,,,DEM
Alaska,Petersburg Census Area,,,,,DEM
Alaska,Southeast Fairbanks Census Area,,,,,DEM
Alaska,Yukon-Koyukuk Census Area,,,,,DEM
Alaska,Yakutat City and Borough,,,,,DEM
Alaska,Lake and Peninsula Borough,,,,,DEM
Alaska,Dillingham Census Area,,,,,DEM
Alaska,Hoonah-Angoon Census Area,,,,,DEM
Alaska,Kenai Peninsula Borough,,,,,DEM
