State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Arizona,Santa Cruz County,3650,10684,395,14926,DEM
Arizona,Mohave County,54656,16485,2386,74189,REP
Arizona,Pima County,147019,195649,13065,360762,DEM
Arizona,Graham County,8025,3301,497,11939,REP
Arizona,Apache County,5315,12196,822,18659,DEM
Arizona,Navajo County,18165,15362,1248,35409,REP
Arizona,Yuma County,20586,18336,1399,40759,REP
Arizona,Cochise County,25036,15291,2022,43147,REP
Arizona,La Paz County,3381,1318,177,4931,REP
Arizona,Maricopa County,590465,549040,48732,1201934,REP
Arizona,Pinal County,53857,35737,3246,93805,REP
Arizona,Greenlee County,1892,1092,200,3243,REP
Arizona,Coconino County,16573,25308,2117,44929,DEM
Arizona,Yavapai County,58862,29705,3069,92780,REP
Arizona,Gila County,13672,6746,776,21398,REP
