State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Arkansas,Lonoke County,19902,5638,760,27007,REP
Arkansas,Monroe County,1400,1298,35,2778,REP
Arkansas,Drew County,3967,2364,108,6590,REP
Arkansas,Madison County,4917,1587,144,6829,REP
Arkansas,Randolph County,4508,1425,203,6378,REP
Arkansas,Ashley County,5338,2408,156,8083,REP
Arkansas,Lincoln County,2455,1252,48,3826,REP
Arkansas,White County,21038,5157,695,27945,REP
Arkansas,Prairie County,2503,812,56,3440,REP
Arkansas,Lafayette County,1750,1028,26,2846,REP
Arkansas,Desha County,1915,2227,44,4252,DEM
Arkansas,Woodruff County,1344,1117,45,2566,REP
Arkansas,Franklin County,5034,1376,177,6764,REP
Arkansas,Chicot County,1716,2350,35,4176,DEM
Arkansas,Polk County,6606,1210,163,8215,REP
Arkansas,Perry County,2979,1035,112,4262,REP
Arkansas,Dallas County,1507,1165,26,2769,REP
Arkansas,Lawrence County,4064,1263,165,5685,REP
Arkansas,Clay County,3779,1999,100,5998,REP
Arkansas,Nevada County,2001,1156,35,3243,REP
Arkansas,Phillips County,2443,4292,62,6932,DEM
Arkansas,Scott County,2378,507,70,3038,REP
Arkansas,Union County,10201,5667,263,16433,REP
Arkansas,Boone County,12225,2925,379,16098,REP
Arkansas,Ouachita County,5347,4320,97,9929,REP
Arkansas,Cleveland County,2460,723,59,3352,REP
Arkansas,Yell County,4600,1472,157,6423,REP
Arkansas,Sebastian County,28769,12184,1605,44119,REP
Arkansas,Fulton County,3470,1067,107,4771,REP
Arkansas,Searcy County,2955,601,68,3728,REP
Arkansas,Clark County,4398,3606,196,8505,REP
Arkansas,Howard County,3155,1350,60,4671,REP
Arkansas,Washington County,40418,32296,3280,79543,REP
Arkansas,Baxter County,14655,4163,451,19730,REP
Arkansas,Jefferson County,9231,15721,294,25821,DEM
Arkansas,Crawford County,16655,4476,578,22403,REP
Arkansas,Van Buren County,5382,1547,82,7116,REP
Arkansas,Conway County,4844,2655,171,7921,REP
Arkansas,Pope County,15694,4818,592,21770,REP
Arkansas,Sevier County,3281,1075,83,4570,REP
Arkansas,Little River County,3604,1397,85,5277,REP
Arkansas,Benton County,60751,27894,3856,96556,REP
Arkansas,Independence County,9925,2878,350,13598,REP
Arkansas,Miller County,11293,4273,237,16090,REP
Arkansas,Lee County,1229,1735,16,3020,DEM
Arkansas,Garland County,26053,12283,984,40734,REP
Arkansas,Pike County,3150,684,73,3980,REP
Arkansas,Hempstead County,4391,2371,105,7031,REP
Arkansas,Jackson County,3262,1583,111,5151,REP
Arkansas,Grant County,5160,1407,175,6908,REP
Arkansas,Calhoun County,1554,636,44,2264,REP
Arkansas,Hot Spring County,8153,3137,237,11909,REP
Arkansas,Marion County,5077,1377,150,6778,REP
Arkansas,Craighead County,22798,10474,1026,35404,REP
Arkansas,Izard County,4042,1111,125,5445,REP
Arkansas,Cleburne County,9454,2101,229,12081,REP
Arkansas,Cross County,4577,1995,105,6863,REP
Arkansas,Pulaski County,61182,89377,4320,159486,DEM
Arkansas,Bradley County,2163,1317,73,3652,REP
Arkansas,Montgomery County,2573,735,50,3471,REP
Arkansas,Greene County,10698,3056,401,14560,REP
Arkansas,Mississippi County,6988,5621,176,13075,REP
Arkansas,Saline County,35852,13247,1464,52578,REP
Arkansas,Faulkner County,29170,14525,1639,47196,REP
Arkansas,St. Francis County,3195,4031,64,7430,DEM
Arkansas,Poinsett County,3149,1878,106,5332,REP
Arkansas,Carroll County,6773,3334,237,10736,REP
Arkansas,Arkansas County,3825,1939,126,6211,REP
Arkansas,Columbia County,5456,3140,117,8887,REP
Arkansas,Logan County,5737,1712,195,7909,REP
Arkansas,Johnson County,6072,2421,293,9086,REP
Arkansas,Newton County,2875,699,49,3753,REP
Arkansas,Sharp County,5405,1472,154,7246,REP
Arkansas,Crittenden County,6953,8368,242,15894,DEM
Arkansas,Stone County,4081,1189,117,5568,REP
