State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
California,Imperial County,11295,28467,1063,41751,DEM
California,San Francisco County,34493,312443,8015,365295,REP
California,Monterey County,26378,64733,3226,96676,DEM
California,Yolo County,13178,34460,1864,50623,DEM
California,Calaveras County,13072,7738,1066,22334,REP
California,Humboldt County,10883,19596,1167,33636,DEM
California,Ventura County,118764,170489,12022,307881,DEM
California,Shasta County,47587,20471,3051,72554,REP
California,Madera County,19221,13283,1161,34263,REP
California,Mariposa County,5185,3122,326,8877,REP
California,Glenn County,5788,3065,375,9379,REP
California,Mono County,2080,2696,217,5154,DEM
California,Orange County,472669,556544,42480,1092116,DEM
California,Trinity County,2409,1876,240,4716,REP
California,Sutter County,16780,11831,1297,30429,REP
California,Colusa County,3551,2659,260,6594,REP
California,Lassen County,7574,2224,473,10422,REP
California,Amador County,10239,5904,777,17186,REP
California,Riverside County,309514,339145,21879,683612,DEM
California,Yuba County,12313,7234,969,21058,REP
California,Butte County,42193,38676,4190,87847,REP
California,Placer County,78977,61969,7436,150532,REP
California,Contra Costa County,105819,286658,14615,415972,DEM
California,Lake County,5752,6240,533,13045,DEM
California,Nevada County,14686,16199,1338,33258,DEM
California,Santa Cruz County,20158,85185,3822,113509,DEM
California,Siskiyou County,11212,7106,866,19836,REP
California,Merced County,18486,21856,1345,42523,DEM
California,Solano County,49595,97159,5959,156067,DEM
California,Fresno County,113949,123660,8193,250264,DEM
California,Tuolumne County,13486,8580,1005,23472,REP
California,Sonoma County,37421,116027,5846,164060,DEM
California,Los Angeles County,620285,1893770,67416,2652072,DEM
California,Del Norte County,5134,3485,416,9361,REP
California,Marin County,17531,86650,3242,109941,DEM
California,El Dorado County,47633,35243,4824,89228,REP
California,Alameda County,91189,486351,16050,613195,DEM
California,Kings County,17446,12902,1282,32250,REP
California,Tehama County,14981,6571,916,22875,REP
California,Santa Clara County,137452,483472,23974,659148,DEM
California,San Bernardino County,253962,312517,19367,598783,DEM
California,San Luis Obispo County,52672,63001,5921,124575,DEM
California,San Joaquin County,68316,89791,5793,166647,DEM
California,Stanislaus County,72960,73939,6080,156141,DEM
California,Plumas County,5079,3224,351,8830,REP
California,San Benito County,6471,10050,666,17572,DEM
California,Sierra County,1048,601,98,1804,REP
California,Mendocino County,3571,6905,400,11435,DEM
California,San Mateo County,53731,219580,8685,287499,DEM
California,Alpine County,211,318,22,575,DEM
California,Santa Barbara County,53740,100120,6329,164224,DEM
California,Inyo County,4248,3155,328,7996,REP
California,Tulare County,50488,39099,3153,94571,REP
California,Kern County,119164,86481,8360,217725,REP
California,San Diego County,386807,567243,39132,1011651,DEM
California,Sacramento County,163024,273768,20903,467526,DEM
California,Modoc County,2413,798,98,3359,REP
California,Napa County,11946,26161,1524,40393,DEM
