State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Florida,Hillsborough County,265928,306422,15598,595072,DEM
Florida,St. Lucie County,70248,66812,2471,140731,REP
Florida,Highlands County,29509,14901,850,45589,REP
Florida,Suwannee County,14281,3955,307,18675,REP
Florida,Washington County,8630,2261,191,11144,REP
Florida,Seminole County,109265,105611,6793,224377,REP
Florida,Duval County,210061,203627,11112,428734,REP
Florida,Dixie County,5822,1270,77,7202,REP
Florida,Sarasota County,124098,97676,4707,228509,REP
Florida,Lee County,191141,124725,6967,325797,REP
Florida,Pasco County,141943,89998,6122,240814,REP
Florida,Jefferson County,3930,3537,110,7641,REP
Florida,Walton County,25695,6861,781,33559,REP
Florida,Broward County,258521,546956,10897,822837,DEM
Florida,Pinellas County,238746,233327,13603,491520,REP
Florida,Bradford County,8913,2924,177,12098,REP
Florida,Union County,4567,1014,90,5693,REP
Florida,Hamilton County,3439,1899,79,5451,REP
Florida,Jackson County,14231,6383,266,20997,REP
Florida,Marion County,107710,61958,3361,174485,REP
Florida,Baker County,10294,2112,169,12634,REP
Florida,Martin County,53182,30158,1803,85741,REP
Florida,Charlotte County,60196,33421,1944,96323,REP
Florida,Wakulla County,10507,4348,377,15344,REP
Florida,Okaloosa County,71788,23711,4155,100657,REP
Florida,Alachua County,46584,75370,4032,127827,DEM
Florida,Manatee County,101681,71066,4169,178521,REP
Florida,Nassau County,34221,10849,1192,46537,REP
Florida,Okeechobee County,9342,3953,233,13632,REP
Florida,Gilchrist County,6740,1457,154,8418,REP
Florida,Volusia County,142763,108793,6103,260304,REP
Florida,Levy County,13758,5091,358,19367,REP
Florida,Flagler County,33804,21985,1111,57413,REP
Florida,Liberty County,2542,651,76,3295,REP
Florida,Sumter County,52722,22631,971,76649,REP
Florida,Citrus County,54377,22765,1722,79590,REP
Florida,Clay County,74898,27768,2805,106363,REP
Florida,Franklin County,4119,1738,95,6003,REP
Florida,Hendry County,6192,4610,206,11106,REP
Florida,DeSoto County,6744,3761,166,10761,REP
Florida,Glades County,2996,1271,54,4355,REP
Florida,Lake County,101888,62597,3969,169898,REP
Florida,Osceola County,50252,85287,2810,139981,DEM
Florida,Polk County,157216,117182,6798,283828,REP
Florida,Miami-Dade County,333666,623006,13183,978670,DEM
Florida,Columbia County,20359,7599,523,28696,REP
Florida,Hernando County,59029,31818,2050,93878,REP
Florida,Holmes County,7476,852,133,8506,REP
Florida,Gulf County,5320,1715,195,7279,REP
Florida,Madison County,4849,3526,95,8503,REP
Florida,Taylor County,6923,2149,150,9279,REP
Florida,Leon County,53777,91936,4395,151925,DEM
Florida,Lafayette County,2795,515,47,3375,REP
Florida,Bay County,62010,21689,2643,87151,REP
Florida,Monroe County,21885,18949,1129,42434,REP
Florida,Putnam County,21873,9920,578,32652,REP
Florida,Santa Rosa County,65126,18398,3094,87432,REP
Florida,Palm Beach County,270762,371411,10229,657235,DEM
Florida,Orange County,195091,329579,14470,545800,DEM
Florida,Gadsden County,6721,14994,228,22079,DEM
Florida,Brevard County,181620,119525,9435,314337,REP
Florida,Escambia County,88370,57114,4554,151609,REP
Florida,Calhoun County,4647,1236,124,6067,REP
Florida,Indian River County,48564,28997,1717,79897,REP
Florida,St. Johns County,88633,43037,3608,136392,REP
Florida,Collier County,105297,60941,3256,170505,REP
Florida,Hardee County,5238,2147,140,7577,REP
