State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Georgia,Jasper County,4353,1544,119,6016,REP
Georgia,Dodge County,5021,1836,138,6995,REP
Georgia,Clarke County,12691,29514,2016,44221,DEM
Georgia,Carroll County,29983,12422,1339,43744,REP
Georgia,Wilkes County,2569,1844,57,4470,REP
Georgia,Pike County,7273,1239,163,8675,REP
Georgia,Tattnall County,5092,1678,109,6879,REP
Georgia,Baker County,775,650,15,1440,REP
Georgia,Wayne County,8147,2039,190,10376,REP
Georgia,Pulaski County,2436,1104,58,3598,REP
Georgia,Schley County,1472,401,36,1909,REP
Georgia,Camden County,12287,5914,624,18825,REP
Georgia,Burke County,4491,4730,129,9350,DEM
Georgia,Treutlen County,1808,860,32,2700,REP
Georgia,Putnam County,6516,2745,170,9431,REP
Georgia,Heard County,3370,743,93,4206,REP
Georgia,Candler County,2661,1023,73,3757,REP
Georgia,Crawford County,3632,1419,106,5157,REP
Georgia,Bleckley County,3717,1094,123,4934,REP
Georgia,Seminole County,2343,1186,48,3577,REP
Georgia,Grady County,6047,3005,135,9187,REP
Georgia,Lincoln County,2759,1271,70,4100,REP
Georgia,Lumpkin County,9613,2216,495,12324,REP
Georgia,Long County,2623,1356,130,4109,REP
Georgia,Forsyth County,69801,23427,4086,97314,REP
Georgia,Thomas County,11225,7138,367,18730,REP
Georgia,Walker County,18938,4213,788,23939,REP
Georgia,Quitman County,575,461,8,1044,REP
Georgia,Calhoun County,829,1178,16,2023,DEM
Georgia,Liberty County,6125,9531,426,16082,DEM
Georgia,Mitchell County,4272,3492,93,7857,REP
Georgia,Gwinnett County,146463,165063,12405,323931,DEM
Georgia,Talbot County,1196,2001,46,3243,DEM
Georgia,Early County,2552,2165,65,4782,REP
Georgia,Union County,9849,1962,228,12039,REP
Georgia,McIntosh County,3482,2298,113,5893,REP
Georgia,Rockdale County,13463,23206,920,37589,DEM
Georgia,Clayton County,11740,75908,1588,89236,DEM
Georgia,Columbia County,43060,18863,2267,64190,REP
Georgia,Lee County,10641,3166,299,14106,REP
Georgia,Jones County,8304,3960,260,12524,REP
Georgia,Lanier County,1984,805,72,2861,REP
Georgia,Houston County,35351,22460,1748,59559,REP
Georgia,Jeff Davis County,4102,901,86,5089,REP
Georgia,Glascock County,1235,138,17,1390,DEM
Georgia,Haralson County,9579,1474,264,11317,REP
Georgia,Dade County,5047,965,226,6238,REP
Georgia,Baldwin County,7691,7965,419,16075,DEM
Georgia,Chatham County,43649,58998,3366,106013,DEM
Georgia,Bartow County,29879,8204,1180,39263,REP
Georgia,Emanuel County,5330,2433,75,7838,REP
Georgia,Coweta County,42513,16572,2230,61315,REP
Georgia,Jefferson County,3057,3809,68,6934,DEM
Georgia,Wilcox County,2096,852,25,2973,REP
Georgia,Stephens County,7682,1835,243,9760,REP
Georgia,Oglethorpe County,4622,1829,199,6650,REP
Georgia,Clinch County,1724,685,34,2443,REP
Georgia,Berrien County,5408,1041,114,6563,REP
Georgia,Catoosa County,20860,4769,881,26510,REP
Georgia,Toombs County,6612,2338,158,9108,REP
Georgia,Elbert County,5269,2507,136,7912,REP
Georgia,Worth County,6144,2015,107,8266,REP
Georgia,Johnson County,2519,1136,27,3682,REP
Georgia,Brantley County,5561,619,105,6285,DEM
Georgia,Barrow County,21105,6580,1143,28828,REP
Georgia,Montgomery County,2668,847,45,3560,REP
Georgia,Appling County,5492,1434,77,7003,REP
Georgia,Banks County,6130,684,132,6946,DEM
