State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Idaho,Lemhi County,3011,733,135,4068,REP
Idaho,Shoshone County,3297,1384,219,5120,REP
Idaho,Payette County,4306,892,187,5703,REP
Idaho,Bingham County,10907,2924,417,16625,REP
Idaho,Power County,1666,699,92,2758,REP
Idaho,Bonneville County,26699,8930,1634,44212,REP
Idaho,Valley County,2906,1913,230,5349,REP
Idaho,Bear Lake County,2203,255,54,2928,DEM
Idaho,Kootenai County,44449,16264,2604,66286,REP
Idaho,Lewis County,1202,270,62,1590,REP
Idaho,Gem County,5980,1229,241,7952,REP
Idaho,Twin Falls County,21063,6844,1126,31893,REP
Idaho,Clark County,203,44,4,283,REP
Idaho,Gooding County,3743,930,110,5191,REP
Idaho,Blaine County,3340,6416,424,10723,DEM
Idaho,Oneida County,1531,184,37,2068,DEM
Idaho,Bannock County,17180,10342,1471,33405,REP
Idaho,Bonner County,10220,5140,626,16815,REP
Idaho,Adams County,1556,415,83,2183,REP
Idaho,Owyhee County,3052,591,108,3920,REP
Idaho,Fremont County,4091,651,127,5714,REP
Idaho,Jefferson County,8436,976,274,11471,DEM
Idaho,Boise County,2673,777,173,3812,REP
Idaho,Custer County,1777,427,67,2413,REP
Idaho,Franklin County,3901,385,117,5499,REP
Idaho,Madison County,8941,1201,612,15687,DEM
Idaho,Latah County,7255,8093,1197,18146,DEM
Idaho,Nez Perce County,10699,4828,879,17195,REP
Idaho,Benewah County,3101,780,151,4192,REP
Idaho,Teton County,2161,2157,183,4966,REP
Idaho,Canyon County,46755,16683,2748,72007,REP
Idaho,Ada County,93748,75676,9978,195587,REP
Idaho,Clearwater County,2852,704,97,3801,REP
Idaho,Elmore County,5816,1814,332,8519,REP
Idaho,Jerome County,7347,2117,334,10667,REP
Idaho,Minidoka County,4887,1167,207,6870,REP
Idaho,Idaho County,6441,1196,249,8223,REP
Idaho,Butte County,914,160,25,1230,REP
Idaho,Washington County,3283,776,138,4454,REP
Idaho,Cassia County,5949,1036,202,8178,REP
Idaho,Caribou County,2275,271,64,3035,DEM
Idaho,Camas County,410,110,23,599,REP
Idaho,Boundary County,3789,933,161,5150,REP
Idaho,Lincoln County,1184,360,54,1748,REP
