State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Illinois,Madison County,70295,50336,5440,127902,REP
Illinois,Bond County,4884,2066,446,7462,REP
Illinois,Putnam County,1762,1143,136,3076,REP
Illinois,Schuyler County,2523,1074,154,3792,REP
Illinois,Pulaski County,1583,817,54,2473,REP
Illinois,McLean County,37081,35918,4803,78995,REP
Illinois,Vermilion County,18582,9876,1060,29799,REP
Illinois,Henderson County,2153,1151,157,3480,REP
Illinois,Henry County,13962,8835,1237,24232,REP
Illinois,Fulton County,8482,6118,773,15609,REP
Illinois,Will County,129726,146230,11337,291010,DEM
Illinois,Union County,5780,2389,219,8514,REP
Illinois,Clay County,5009,1014,207,6278,REP
Illinois,Mercer County,4800,3061,474,8417,REP
Illinois,DeKalb County,19051,20348,2463,42605,DEM
Illinois,Monroe County,12614,5522,738,19074,REP
Illinois,Perry County,6816,2433,345,9706,REP
Illinois,Richland County,5736,1579,234,7630,REP
Illinois,Peoria County,35299,37436,3665,77465,DEM
Illinois,Woodford County,13180,5068,928,19389,REP
Illinois,Stephenson County,10845,7531,908,19525,REP
Illinois,Hamilton County,3205,800,114,4143,REP
Illinois,De Witt County,5072,1907,429,7469,REP
Illinois,Effingham County,13613,3071,644,17428,REP
Illinois,Pike County,5749,1412,257,7458,REP
Illinois,Winnebago County,53922,52595,4878,113027,REP
Illinois,Ogle County,14344,8025,1155,23798,REP
Illinois,Gallatin County,1942,656,73,2691,REP
Illinois,Edwards County,2777,432,91,3312,REP
Illinois,Kankakee County,25081,18908,1982,46556,REP
Illinois,Shelby County,8209,2279,369,10912,REP
Illinois,Marion County,11677,4231,534,16600,REP
Illinois,Scott County,1965,528,68,2583,REP
Illinois,Adams County,22732,7633,1157,31770,REP
Illinois,Piatt County,5623,2633,557,8899,REP
Illinois,Jo Daviess County,6113,4452,496,11177,REP
Illinois,Carroll County,4428,2437,393,7354,REP
Illinois,Pope County,1678,374,62,2132,REP
Illinois,Massac County,4844,1555,194,6633,REP
Illinois,Alexander County,1496,1262,48,2820,REP
Illinois,Johnson County,4644,1135,182,6017,REP
Illinois,McHenry County,71117,59827,7083,140145,REP
Illinois,Ford County,4474,1410,319,6289,REP
Illinois,Sangamon County,49823,40731,4484,96472,REP
Illinois,Lawrence County,4517,1288,193,6039,REP
Illinois,Livingston County,10197,4005,769,15096,REP
Illinois,Morgan County,9060,4693,667,14607,REP
Illinois,Champaign County,33235,49694,4502,89196,DEM
Illinois,Mason County,4051,2008,320,6433,REP
Illinois,Washington County,5566,1446,289,7376,REP
Illinois,Calhoun County,1719,739,72,2556,REP
Illinois,Randolph County,9992,3421,485,14032,REP
Illinois,Wabash County,4039,1146,175,5402,REP
Illinois,Jefferson County,11681,4408,571,16818,REP
Illinois,Brown County,1776,475,75,2336,REP
Illinois,Jasper County,3973,924,181,5104,REP
Illinois,Knox County,10658,9939,1094,21964,REP
Illinois,St. Clair County,53479,60180,4100,119201,DEM
Illinois,Williamson County,21503,8539,986,31422,REP
Illinois,Lake County,108608,168186,13048,293574,DEM
Illinois,Greene County,4139,1202,162,5542,REP
Illinois,Edgar County,5634,1778,324,7783,REP
Illinois,Clark County,5620,1873,277,7819,REP
Illinois,Montgomery County,8616,3490,595,12829,REP
Illinois,Macoupin County,14194,6532,917,21881,REP
Illinois,Stark County,1777,748,149,2707,REP
Illinois,Wayne County,6963,1048,190,8256,REP
Illinois,Boone County,12261,8952,1062,22604,REP
Illinois,Bureau County,9264,6010,836,16303,REP
Illinois,Cook County,440213,1528582,55900,2055215,DEM
Illinois,Hardin County,1650,419,46,2133,REP
Illinois,Jersey County,7737,2673,405,10909,REP
Illinois,Moultrie County,4453,1476,237,6209,REP
Illinois,Clinton County,12394,3939,811,17268,REP
Illinois,Franklin County,13101,4711,538,18533,REP
Illinois,Jackson County,10889,11619,1198,24509,DEM
Illinois,Menard County,4230,1808,311,6423,REP
Illinois,Grundy County,13417,8021,1131,22891,REP
Illinois,Crawford County,6146,1969,324,8507,REP
Illinois,Cumberland County,4200,1028,238,5513,REP
Illinois,LaSalle County,26269,19277,2264,48447,REP
Illinois,DuPage County,164355,222499,19902,412929,DEM
Illinois,Hancock County,5713,1744,306,7818,REP
Illinois,Iroquois County,9728,2496,550,12923,REP
Illinois,Fayette County,7363,1814,281,9515,REP
Illinois,Kendall County,24152,23392,2550,50815,REP
Illinois,Macon County,26782,18211,1836,47283,REP
Illinois,McDonough County,6789,5278,634,12910,REP
Illinois,Whiteside County,12597,11005,1283,25210,REP
Illinois,Logan County,8167,3301,533,12130,REP
Illinois,Kane County,82087,99389,9189,193500,DEM
Illinois,Lee County,8597,5499,893,15215,REP
Illinois,Coles County,12985,7285,1023,21580,REP
Illinois,Cass County,3216,1617,171,5054,REP
Illinois,Tazewell County,38620,20568,3336,63347,REP
Illinois,Douglas County,5695,1946,359,8089,REP
Illinois,Rock Island County,26969,32258,3012,62971,DEM
Illinois,Christian County,10522,3982,659,15310,REP
Illinois,Warren County,4267,2983,358,7700,REP
Illinois,Saline County,8248,2551,358,11234,REP
Illinois,White County,5639,1412,204,7289,REP
Illinois,Marshall County,3776,1784,265,5903,REP
