State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Indiana,Bartholomew County,20637,9841,1911,32389,REP
Indiana,Franklin County,8665,1967,358,10990,REP
Indiana,Delaware County,24217,18100,2382,44699,REP
Indiana,Jay County,5697,1889,376,7962,REP
Indiana,Pike County,4398,1297,282,5977,REP
Indiana,Posey County,8393,3515,540,12448,REP
Indiana,Wabash County,9819,3018,578,13415,REP
Indiana,Elkhart County,41810,20667,2710,65187,REP
Indiana,Monroe County,20527,34183,2913,57623,DEM
Indiana,Newton County,4074,1403,314,5791,REP
Indiana,Sullivan County,6138,2113,308,8559,REP
Indiana,Switzerland County,2558,930,151,3639,REP
Indiana,Warren County,2896,839,184,3919,REP
Indiana,Washington County,8206,2636,491,11333,REP
Indiana,Lake County,75565,116896,7786,200247,DEM
Indiana,Morgan County,23671,6037,1472,31180,REP
Indiana,Steuben County,10127,3741,662,14530,REP
Indiana,Grant County,17009,7029,1201,25239,REP
Indiana,Wells County,9999,2585,539,13123,REP
Indiana,Jasper County,9382,3329,620,13331,REP
Indiana,Allen County,83801,55222,6764,145787,REP
Indiana,Vanderburgh County,40422,28296,3239,71957,REP
Indiana,Marion County,130228,212676,18166,361070,DEM
Indiana,Ripley County,9806,2471,513,12790,REP
Indiana,Clark County,30012,18791,2301,51104,REP
Indiana,Clinton County,8530,2819,547,11896,REP
Indiana,Fayette County,6839,2252,439,9530,REP
Indiana,Knox County,11077,3772,634,15483,REP
Indiana,St. Joseph County,52019,52247,5186,109452,DEM
Indiana,Orange County,5800,2048,341,8189,REP
Indiana,Martin County,3695,881,231,4807,REP
Indiana,Cass County,9697,3758,680,14135,REP
Indiana,Rush County,5292,1525,397,7214,REP
Indiana,Adams County,9642,2802,595,13039,REP
Indiana,Tipton County,5589,1587,334,7510,REP
Indiana,Parke County,4863,1441,272,6576,REP
Indiana,DeKalb County,12054,3941,821,16816,REP
Indiana,Huntington County,11649,3506,819,15974,REP
Indiana,LaPorte County,22678,19795,2521,44994,REP
Indiana,Noble County,12198,3904,788,16890,REP
Indiana,Howard County,23675,11215,1864,36754,REP
Indiana,Crawford County,3013,1323,255,4591,REP
Indiana,Floyd County,21427,13939,1859,37225,REP
Indiana,Jackson County,12857,3843,832,17532,REP
Indiana,Vigo County,21924,15922,1723,39569,REP
Indiana,Hancock County,25050,8901,2076,36027,REP
Indiana,Dearborn County,18110,4883,917,23910,REP
Indiana,Spencer County,6572,2861,526,9959,REP
Indiana,Pulaski County,3854,1327,256,5437,REP
Indiana,Dubois County,13365,5389,1163,19917,REP
Indiana,Johnson County,45456,17318,3455,66229,REP
Indiana,Boone County,19654,10181,2226,32061,REP
Indiana,LaGrange County,7025,2080,447,9552,REP
Indiana,Jefferson County,8538,4325,598,13461,REP
Indiana,Hendricks County,48326,22595,4337,75258,REP
Indiana,Henry County,13895,5124,1056,20075,REP
Indiana,Marshall County,12286,4798,924,18008,REP
Indiana,Putnam County,10637,3356,687,14680,REP
Indiana,Warrick County,19133,9086,1390,29609,REP
Indiana,Wayne County,16028,8322,1225,25575,REP
Indiana,Whitley County,11357,3379,799,15535,REP
Indiana,Fulton County,6010,1960,404,8374,REP
Indiana,Gibson County,11079,3720,673,15472,REP
Indiana,Lawrence County,14034,4210,832,19076,REP
Indiana,Madison County,32376,18595,2689,53660,REP
Indiana,Shelby County,12718,4247,970,17935,REP
Indiana,Fountain County,5661,1476,337,7474,REP
Indiana,Porter County,38719,33531,4242,76492,REP
Indiana,Miami County,9975,2766,699,13440,REP
Indiana,Scott County,6074,2642,344,9060,REP
Indiana,Blackford County,3349,1243,230,4822,REP
Indiana,Owen County,6151,1946,423,8520,REP
Indiana,Greene County,10275,2929,559,13763,REP
Indiana,Kosciusko County,23909,6311,1687,31907,REP
Indiana,Ohio County,2118,686,113,2917,REP
Indiana,Perry County,4556,3062,407,8025,REP
Indiana,Carroll County,6273,1891,445,8609,REP
Indiana,Randolph County,7515,2446,495,10456,REP
Indiana,Decatur County,8488,2121,486,11095,REP
Indiana,White County,6813,2563,526,9902,REP
Indiana,Jennings County,8222,2364,529,11115,REP
Indiana,Harrison County,12993,4776,759,18528,REP
Indiana,Benton County,2579,860,215,3654,REP
Indiana,Daviess County,8545,1800,391,10736,REP
Indiana,Clay County,8528,2306,425,11259,REP
Indiana,Brown County,5015,2518,375,7908,REP
Indiana,Union County,2445,715,126,3286,REP
Indiana,Tippecanoe County,30711,27207,3998,61916,REP
Indiana,Hamilton County,87299,57214,9117,153630,REP
Indiana,Starke County,6367,2489,370,9226,REP
Indiana,Montgomery County,11051,3362,688,15101,REP
Indiana,Vermillion County,4511,2081,321,6913,REP
