State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Iowa,Dubuque County,23384,22774,374,49037,REP
Iowa,Poweshiek County,4936,4272,281,9693,REP
Iowa,Story County,19111,25085,2963,48910,DEM
Iowa,Henry County,5764,2897,336,9286,REP
Iowa,Taylor County,2108,755,97,3003,REP
Iowa,Marion County,10940,5469,703,17554,REP
Iowa,Clinton County,11249,10079,819,22748,REP
Iowa,Cherokee County,4188,1676,206,6186,REP
Iowa,Calhoun County,3466,1396,172,5105,REP
Iowa,Decatur County,2296,1201,123,3703,REP
Iowa,Clayton County,5309,3236,384,9098,REP
Iowa,Muscatine County,9549,8284,741,19086,REP
Iowa,Worth County,2443,1523,165,4216,REP
Iowa,Shelby County,4340,1649,174,6270,REP
Iowa,Tama County,4968,3194,244,8636,REP
Iowa,Sac County,3692,1269,129,5158,REP
Iowa,Harrison County,4892,2123,209,7378,REP
Iowa,Polk County,93421,119671,10009,228420,DEM
Iowa,Howard County,2611,1674,130,4507,REP
Iowa,Hardin County,5231,2774,294,8423,REP
Iowa,Sioux County,14761,2289,431,17989,REP
Iowa,Johnson County,20993,49942,2743,75637,DEM
Iowa,Fayette County,5591,3666,326,9813,REP
Iowa,Chickasaw County,3739,2264,236,6367,REP
Iowa,Franklin County,3153,1490,187,4915,REP
Iowa,Jasper County,10556,7108,715,18776,REP
Iowa,O'Brien County,5735,1314,195,7348,REP
Iowa,Wapello County,8710,5591,380,14996,REP
Iowa,Montgomery County,3431,1312,152,4998,REP
Iowa,Pottawattamie County,24441,15341,1467,42226,REP
Iowa,Woodbury County,24627,16102,1173,42933,REP
Iowa,Black Hawk County,27382,32006,2357,63221,DEM
Iowa,Union County,3521,1920,212,5768,REP
Iowa,Page County,4875,1801,174,6968,REP
Iowa,Cerro Gordo County,11583,9840,843,22633,REP
Iowa,Lyon County,5188,917,137,6336,REP
Iowa,Washington County,6170,3938,458,10824,REP
Iowa,Monroe County,2635,1053,104,3844,REP
Iowa,Appanoose County,4031,1813,139,6096,REP
Iowa,Carroll County,6627,3305,317,10435,REP
Iowa,Mahaska County,7404,2606,316,10494,REP
Iowa,Wayne County,2069,719,78,2921,REP
Iowa,Palo Alto County,3079,1395,131,4674,REP
Iowa,Wright County,3790,1890,175,5949,REP
Iowa,Warren County,14773,10371,1270,26916,REP
Iowa,Dallas County,19288,15662,1749,37617,REP
Iowa,Ringgold County,1820,753,72,2684,REP
Iowa,Webster County,10049,6293,568,17239,REP
Iowa,Winnebago County,3437,1920,218,5717,REP
Iowa,Marshall County,9125,7623,576,17700,REP
Iowa,Benton County,8226,4672,540,13690,REP
Iowa,Jackson County,5821,3837,318,10204,REP
Iowa,Iowa County,5193,3070,315,8789,REP
Iowa,Winneshiek County,5332,5238,381,11217,REP
Iowa,Louisa County,3060,1643,134,4943,REP
Iowa,Adams County,1393,565,93,2082,REP
Iowa,Bremer County,7199,5349,543,13350,REP
Iowa,Buchanan County,5504,3966,478,10137,REP
Iowa,Delaware County,5688,2956,337,9165,REP
Iowa,Linn County,48183,58481,5510,114664,DEM
Iowa,Des Moines County,9479,8178,633,18713,REP
Iowa,Buena Vista County,4895,2851,287,8179,REP
Iowa,Lee County,8762,6195,502,15893,REP
Iowa,Greene County,2819,1688,160,4762,REP
Iowa,Dickinson County,6743,3051,291,10247,REP
Iowa,Hancock County,3972,1582,165,5815,REP
Iowa,Humboldt County,3564,1251,127,5033,REP
Iowa,Crawford County,4608,1985,172,6862,REP
Iowa,Lucas County,2873,1236,115,4297,REP
Iowa,Van Buren County,2524,843,83,3526,REP
Iowa,Audubon County,2135,1079,106,3379,REP
Iowa,Adair County,2456,1127,125,3759,REP
Iowa,Butler County,4918,2163,217,7457,REP
Iowa,Cedar County,5275,3578,362,9386,REP
Iowa,Madison County,5336,2666,344,8523,REP
Iowa,Floyd County,4371,3177,241,7985,REP
Iowa,Pocahontas County,2692,962,115,3831,REP
Iowa,Emmet County,3121,1356,138,4707,REP
Iowa,Osceola County,2528,552,73,3197,REP
Iowa,Cass County,4755,1946,206,7055,REP
Iowa,Ida County,2655,792,103,3590,REP
Iowa,Hamilton County,4450,2715,259,7589,REP
Iowa,Kossuth County,5637,2529,193,8505,REP
Iowa,Mills County,5050,2080,303,7608,REP
Iowa,Keokuk County,3385,1265,139,4858,REP
Iowa,Jefferson County,3738,3702,246,8001,REP
Iowa,Jones County,5718,3779,305,10011,REP
Iowa,Allamakee County,4072,2409,224,6837,REP
Iowa,Clay County,5870,2246,286,8542,REP
Iowa,Boone County,7458,5517,643,13984,REP
Iowa,Monona County,3115,1244,112,4525,REP
Iowa,Davis County,2721,976,85,3858,REP
Iowa,Clarke County,2706,1463,159,4405,REP
Iowa,Plymouth County,9659,2878,342,13057,REP
Iowa,Guthrie County,3603,1720,256,5654,REP
Iowa,Fremont County,2401,959,115,3554,REP
Iowa,Grundy County,4516,1847,233,6766,REP
Iowa,Scott County,39083,40302,3547,84878,DEM
Iowa,Mitchell County,3180,1879,209,5360,REP
