State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Kansas,Leavenworth County,17387,10064,1580,29676,REP
Kansas,Osborne County,1437,231,45,1753,REP
Kansas,Morton County,970,145,32,1160,REP
Kansas,Wabaunsee County,2358,773,140,3340,REP
Kansas,Butler County,18781,6489,1391,27051,REP
Kansas,Sumner County,6844,2039,412,9494,REP
Kansas,Montgomery County,8466,2557,395,11623,REP
Kansas,Hamilton County,690,114,30,847,REP
Kansas,Pawnee County,1872,567,129,2602,REP
Kansas,Miami County,9839,3949,667,14712,REP
Kansas,Scott County,1832,232,69,2159,REP
Kansas,Cloud County,2856,744,157,3831,REP
Kansas,Stafford County,1485,303,62,1884,REP
Kansas,Pratt County,2824,769,163,3806,REP
Kansas,Republic County,1993,370,80,2484,REP
Kansas,Rush County,1177,227,53,1474,REP
Kansas,Allen County,3575,1398,223,5314,REP
Kansas,Rice County,2652,668,182,3567,REP
Kansas,Elk County,1048,160,35,1259,REP
Kansas,Douglas County,14308,30089,2349,48231,DEM
Kansas,Neosho County,4340,1464,232,6151,REP
Kansas,Shawnee County,35349,33270,3331,73648,REP
Kansas,Haskell County,1011,228,40,1300,REP
Kansas,Seward County,3025,1491,172,4743,REP
Kansas,Franklin County,7025,2829,546,10658,REP
Kansas,Bourbon County,4314,1306,192,5918,REP
Kansas,Labette County,5232,2234,291,7919,REP
Kansas,Marshall County,3250,1060,196,4578,REP
Kansas,Greenwood County,2146,484,122,2811,REP
Kansas,Woodson County,1063,270,63,1420,REP
Kansas,Brown County,2861,850,152,3960,REP
Kansas,Morris County,1790,586,132,2568,REP
Kansas,Wallace County,711,45,15,779,REP
Kansas,Sheridan County,1186,126,38,1362,DEM
Kansas,Cowley County,8016,3436,455,12171,REP
Kansas,Crawford County,8394,5064,646,14404,REP
Kansas,Ellsworth County,1933,515,105,2626,REP
Kansas,Barton County,7766,1823,344,10088,REP
Kansas,Finney County,6155,3006,396,9731,REP
Kansas,Marion County,3928,1177,221,5465,REP
Kansas,Osage County,4713,1730,289,6894,REP
Kansas,Rooks County,1999,273,77,2378,REP
Kansas,Washington County,2136,378,118,2677,REP
Kansas,Decatur County,1220,178,42,1460,REP
Kansas,Lane County,684,104,31,831,REP
Kansas,Barber County,1822,281,78,2209,REP
Kansas,Smith County,1635,295,55,2014,REP
Kansas,Reno County,15100,6670,1239,23448,REP
Kansas,Johnson County,133907,126324,14673,279753,REP
Kansas,Logan County,1124,149,47,1348,REP
Kansas,Greeley County,523,83,25,639,REP
Kansas,Gray County,1651,257,73,2011,REP
Kansas,Clark County,813,118,33,983,REP
Kansas,Ellis County,8311,2669,454,11660,REP
Kansas,McPherson County,8407,3183,566,12443,REP
Kansas,Russell County,2544,454,107,3148,REP
Kansas,Sedgwick County,101319,66716,8865,180750,REP
Kansas,Stevens County,1564,215,49,1853,REP
Kansas,Wilson County,2747,550,130,3482,REP
Kansas,Kearny County,1048,224,40,1325,REP
Kansas,Graham County,1013,185,38,1265,REP
Kansas,Ness County,1216,160,39,1435,REP
Kansas,Comanche County,705,102,40,857,REP
Kansas,Chase County,964,313,42,1342,REP
Kansas,Grant County,1755,427,98,2311,REP
Kansas,Saline County,13367,6084,1310,21206,REP
Kansas,Hodgeman County,845,124,21,1006,REP
Kansas,Jewell County,1204,180,56,1483,REP
Kansas,Ottawa County,2261,424,139,2866,REP
Kansas,Doniphan County,2601,584,125,3366,REP
Kansas,Ford County,4994,2032,270,7425,REP
Kansas,Jackson County,3888,1489,211,5727,REP
Kansas,Jefferson County,5112,2483,375,8151,REP
Kansas,Kingman County,2507,594,112,3281,REP
Kansas,Lincoln County,1168,214,39,1448,REP
Kansas,Lyon County,6354,4456,623,11745,REP
Kansas,Sherman County,2043,340,109,2537,REP
Kansas,Thomas County,2832,467,129,3483,REP
Kansas,Anderson County,2386,665,146,3277,REP
Kansas,Atchison County,3977,1946,310,6393,REP
Kansas,Cherokee County,6017,1959,287,8386,REP
Kansas,Dickinson County,5905,1582,361,8008,REP
Kansas,Meade County,1390,206,61,1675,REP
Kansas,Harvey County,8503,5006,673,14540,REP
Kansas,Edwards County,1033,208,33,1308,REP
Kansas,Wichita County,765,139,18,934,REP
Kansas,Geary County,4116,2569,299,7129,REP
Kansas,Mitchell County,2216,469,86,2824,REP
Kansas,Nemaha County,4066,714,163,5025,REP
Kansas,Coffey County,2990,719,185,3962,REP
Kansas,Phillips County,2200,296,86,2611,REP
Kansas,Kiowa County,855,111,42,1023,REP
Kansas,Trego County,1211,193,38,1459,REP
Kansas,Wyandotte County,15520,29346,1682,47467,DEM
Kansas,Linn County,3377,721,116,4279,REP
Kansas,Harper County,1950,388,115,2513,REP
Kansas,Stanton County,580,132,22,742,REP
Kansas,Gove County,1127,149,40,1328,REP
Kansas,Chautauqua County,1552,236,30,1845,REP
Kansas,Clay County,2831,665,146,3727,REP
Kansas,Cheyenne County,1172,188,29,1409,REP
Kansas,Pottawatomie County,7451,2191,532,10359,REP
Kansas,Riley County,9817,8892,1380,20475,REP
Kansas,Norton County,1808,277,65,2190,REP
Kansas,Rawlins County,1209,160,53,1448,REP
