State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Kentucky,Caldwell County,4507,1260,118,5975,REP
Kentucky,Fayette County,56890,69776,5230,136239,DEM
Kentucky,Carlisle County,2094,432,42,2601,REP
Kentucky,Green County,4372,832,84,5333,REP
Kentucky,Livingston County,3570,887,115,4643,REP
Kentucky,Nelson County,13430,6434,565,20772,REP
Kentucky,Pike County,19740,4277,411,24650,REP
Kentucky,Whitley County,11312,2067,242,13769,REP
Kentucky,Owsley County,1474,256,24,1759,REP
Kentucky,Henry County,4944,1828,224,7145,REP
Kentucky,Russell County,6863,1093,153,8174,REP
Kentucky,Metcalfe County,3491,976,86,4619,REP
Kentucky,Muhlenberg County,9393,3272,230,13054,REP
Kentucky,Washington County,4013,1420,111,5630,REP
Kentucky,McLean County,3381,988,137,4566,REP
Kentucky,Wolfe County,1804,753,42,2635,REP
Kentucky,Ballard County,3161,816,77,4101,REP
Kentucky,Bath County,3082,1361,75,4583,REP
Kentucky,Adair County,6637,1323,141,8231,REP
Kentucky,Bell County,7764,1720,144,9718,REP
Kentucky,Boyd County,13591,6021,496,20454,REP
Kentucky,Carter County,7587,2276,237,10274,REP
Kentucky,Daviess County,28907,14163,1488,45781,REP
Kentucky,Graves County,12671,3308,411,16592,REP
Kentucky,Grayson County,8219,1959,259,10572,REP
Kentucky,Laurel County,20592,3440,473,24824,REP
Kentucky,Rowan County,5174,3295,207,8842,REP
Kentucky,Floyd County,11993,4015,357,16540,REP
Kentucky,Greenup County,11546,4146,319,16273,REP
Kentucky,Johnson County,8043,1250,163,9572,REP
Kentucky,Ohio County,7942,2080,207,10398,REP
Kentucky,Jefferson County,143758,190824,10187,352934,DEM
Kentucky,Pulaski County,22900,4208,562,28034,REP
Kentucky,Lyon County,2789,1045,74,3961,REP
Kentucky,Bullitt County,26210,8255,964,36054,REP
Kentucky,Jackson County,4889,482,79,5500,REP
Kentucky,Jessamine County,15474,6144,829,23306,REP
Kentucky,Mason County,4944,1970,173,7216,REP
Kentucky,Harrison County,5435,2031,184,7780,REP
Kentucky,Butler County,4428,947,136,5576,REP
Kentucky,Clinton County,3809,547,60,4458,REP
Kentucky,Fulton County,1549,774,35,2382,REP
Kentucky,Robertson County,759,222,19,1013,REP
Kentucky,Fleming County,4722,1348,109,6257,REP
Kentucky,Lee County,2151,444,42,2667,REP
Kentucky,Lincoln County,7338,1865,226,9561,REP
Kentucky,Mercer County,7740,2395,275,10584,REP
Kentucky,Union County,4701,1331,115,6211,REP
Kentucky,Woodford County,7697,4958,529,13560,REP
Kentucky,Christian County,14108,7188,474,22083,REP
Kentucky,Breathitt County,3991,1537,117,5735,REP
Kentucky,Leslie County,4015,400,39,4492,REP
Kentucky,Oldham County,20469,10268,1229,32853,REP
Kentucky,Edmonson County,4135,979,77,5241,REP
Kentucky,Clay County,5861,752,83,6765,REP
Kentucky,Casey County,5482,767,121,6439,REP
Kentucky,Campbell County,25050,14658,1789,42489,REP
Kentucky,Menifee County,2010,700,43,2780,REP
Kentucky,Harlan County,9129,1372,156,10757,REP
Kentucky,Hart County,5320,1730,140,7263,REP
Kentucky,Kenton County,42958,24213,3093,71947,REP
Kentucky,Lawrence County,4816,1045,107,6042,REP
Kentucky,Lewis County,4363,785,95,5298,REP
Kentucky,Scott County,15052,7713,853,24178,REP
Kentucky,Allen County,6466,1349,161,8091,REP
Kentucky,Anderson County,8242,2634,319,11420,REP
Kentucky,Elliott County,2000,740,67,2855,REP
Kentucky,Larue County,4799,1278,174,6367,REP
Kentucky,Barren County,13483,4275,455,18483,REP
Kentucky,Monroe County,4278,601,76,4991,REP
Kentucky,Powell County,3513,1272,118,4957,REP
Kentucky,Simpson County,5077,2144,200,7529,REP
Kentucky,Boone County,39082,15026,2299,57570,REP
Kentucky,McCracken County,20774,9134,839,31294,REP
Kentucky,Todd County,3612,1042,64,4774,REP
Kentucky,Grant County,7268,1910,226,9556,REP
Kentucky,Gallatin County,2443,749,100,3337,REP
Kentucky,Marshall County,12322,3672,426,16688,REP
Kentucky,Hickman County,1657,449,26,2157,REP
Kentucky,Bourbon County,5569,2791,283,8795,REP
Kentucky,Boyle County,8040,4281,365,12938,REP
Kentucky,Pendleton County,4604,1164,145,6007,REP
Kentucky,Perry County,8158,2136,168,10572,REP
Kentucky,Garrard County,5904,1453,157,7619,REP
Kentucky,Shelby County,13196,6276,629,20573,REP
Kentucky,Knott County,4357,1245,102,5763,REP
Kentucky,Clark County,10710,4706,453,16202,REP
Kentucky,Bracken County,2711,705,51,3527,REP
Kentucky,Meade County,8660,3026,333,12229,REP
Kentucky,Hardin County,26970,13944,1413,43141,REP
Kentucky,Marion County,5122,2679,215,8109,REP
Kentucky,Morgan County,3628,1006,63,4770,REP
Kentucky,Trigg County,4928,1587,121,6745,REP
Kentucky,Cumberland County,2502,459,67,3066,REP
Kentucky,Hancock County,2788,1244,129,4293,REP
Kentucky,Henderson County,12159,6707,507,19705,REP
Kentucky,Warren County,28673,16966,1605,48436,REP
Kentucky,Logan County,7778,2755,229,10899,REP
Kentucky,McCreary County,5012,664,59,5776,REP
Kentucky,Madison County,23431,11793,1189,37336,REP
Kentucky,Rockcastle County,5609,915,87,6688,REP
Kentucky,Nicholas County,1957,787,65,2840,REP
Kentucky,Webster County,4397,1240,111,5805,REP
Kentucky,Carroll County,2588,1106,100,3855,REP
Kentucky,Letcher County,7293,1542,210,9134,REP
Kentucky,Magoffin County,3824,1172,66,5116,REP
Kentucky,Hopkins County,15277,4310,478,20341,REP
Kentucky,Martin County,3503,363,52,3953,DEM
Kentucky,Knox County,9885,1761,189,12012,REP
Kentucky,Breckinridge County,6484,1960,194,8771,REP
Kentucky,Owen County,3745,1062,122,4999,REP
Kentucky,Spencer County,7196,1921,237,9513,REP
Kentucky,Calloway County,10367,4749,492,16045,REP
Kentucky,Taylor County,8320,2553,233,11304,REP
Kentucky,Crittenden County,3290,617,76,4037,REP
Kentucky,Wayne County,6370,1431,116,7991,REP
Kentucky,Montgomery County,7856,3158,264,11444,REP
Kentucky,Trimble County,2771,879,88,3788,REP
Kentucky,Estill County,4236,1108,129,5545,REP
Kentucky,Franklin County,11819,10717,725,23860,REP
