State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Louisiana,Grant Parish,7406,1181,126,8819,REP
Louisiana,Webster Parish,11538,6259,166,18140,REP
Louisiana,St. John the Baptist Parish,7569,12658,228,20740,DEM
Louisiana,St. Martin Parish,16872,8266,303,25749,REP
Louisiana,West Carroll Parish,3970,715,27,4759,REP
Louisiana,Winn Parish,4605,1643,40,6368,REP
Louisiana,St. Charles Parish,16620,8558,592,26190,REP
Louisiana,Natchitoches Parish,8965,7143,260,16617,REP
Louisiana,St. Mary Parish,14353,8050,245,22871,REP
Louisiana,Ascension Parish,36135,16471,1182,54663,REP
Louisiana,Iberia Parish,20903,10698,443,32454,REP
Louisiana,Lincoln Parish,10761,7102,440,18664,REP
Louisiana,Morehouse Parish,6502,5155,73,11852,REP
Louisiana,Rapides Parish,36814,18318,858,56838,REP
Louisiana,St. Tammany Parish,90914,27716,3409,124389,REP
Louisiana,St. James Parish,5456,6418,98,12085,DEM
Louisiana,West Baton Rouge Parish,6926,5382,206,12710,REP
Louisiana,Livingston Parish,48797,6950,1149,57700,REP
Louisiana,Caddo Parish,48977,53448,1861,105737,DEM
Louisiana,East Carroll Parish,1059,1838,16,2939,DEM
Louisiana,Madison Parish,1927,2744,17,4732,DEM
Louisiana,Vernon Parish,13471,2665,265,16633,REP
Louisiana,Allen Parish,6867,2106,102,9245,REP
Louisiana,Claiborne Parish,3585,2717,45,6421,REP
Louisiana,Ouachita Parish,41712,24420,980,67987,REP
Louisiana,Caldwell Parish,3822,788,28,4692,REP
Louisiana,Tangipahoa Parish,33933,16869,843,52381,REP
Louisiana,Cameron Parish,3256,323,57,3692,REP
Louisiana,Red River Parish,2391,1938,47,4422,REP
Louisiana,St. Bernard Parish,10232,4957,308,15807,REP
Louisiana,Avoyelles Parish,11163,5032,188,16581,REP
Louisiana,St. Landry Parish,21966,17208,349,39970,REP
Louisiana,Jefferson Davis Parish,10775,3080,185,14277,REP
Louisiana,Concordia Parish,5474,3272,68,8869,REP
Louisiana,West Feliciana Parish,3390,2247,97,5798,REP
Louisiana,Catahoula Parish,3479,1322,17,4856,REP
Louisiana,La Salle Parish,5835,605,53,6568,DEM
Louisiana,Lafayette Parish,68191,32726,2833,105599,REP
Louisiana,Iberville Parish,7320,8324,165,16043,DEM
Louisiana,Vermilion Parish,19807,4745,387,25253,REP
Louisiana,Bossier Parish,35451,12638,1022,49818,REP
Louisiana,Lafourche Parish,31958,8423,734,41644,REP
Louisiana,Calcasieu Parish,54182,26293,1786,83773,REP
Louisiana,Pointe Coupee Parish,6789,4764,86,11761,REP
Louisiana,Richland Parish,6286,3157,67,9596,REP
Louisiana,Sabine Parish,7877,1703,97,9785,REP
Louisiana,Acadia Parish,21159,5638,281,27386,REP
Louisiana,East Baton Rouge Parish,84620,102711,4959,196332,DEM
Louisiana,Jefferson Parish,100292,73540,4297,181388,REP
Louisiana,De Soto Parish,8067,5163,128,13497,REP
Louisiana,Bienville Parish,3756,3129,54,7005,REP
Louisiana,East Feliciana Parish,5569,4235,102,10042,REP
Louisiana,Jackson Parish,5169,2139,74,7464,REP
Louisiana,Orleans Parish,24267,133833,3636,165619,DEM
Louisiana,Assumption Parish,6714,3931,127,10904,REP
Louisiana,Washington Parish,12552,5690,185,18622,REP
Louisiana,Terrebonne Parish,31900,10664,808,43893,REP
Louisiana,Franklin Parish,6514,2506,68,9162,REP
Louisiana,Tensas Parish,1180,1329,13,2543,DEM
Louisiana,Beauregard Parish,12238,2393,225,15078,REP
Louisiana,Evangeline Parish,10357,4208,116,14879,REP
Louisiana,Union Parish,7972,2691,108,10894,REP
Louisiana,St. Helena Parish,2497,3353,43,5964,DEM
Louisiana,Plaquemines Parish,6900,3347,178,10572,REP
