State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Maine,Somerset County,14998,9092,1362,25968,REP
Maine,Knox County,9148,12440,898,23021,DEM
Maine,Oxford County,16214,12172,2047,31094,REP
Maine,York County,50388,55828,5692,113962,DEM
Maine,Washington County,9037,6358,791,16559,REP
Maine,Franklin County,7900,7001,1102,16382,REP
Maine,Sagadahoc County,9304,10679,1178,21596,DEM
Maine,Lincoln County,9727,10241,1039,21432,DEM
Maine,Androscoggin County,28189,22975,3291,55340,REP
Maine,Cumberland County,57697,102935,7406,171249,DEM
Maine,Piscataquis County,5403,3098,464,9144,REP
Maine,Aroostook County,19419,13377,1651,34963,REP
Maine,Penobscot County,41601,32832,4378,80228,REP
Maine,Waldo County,10378,10442,1220,22630,DEM
Maine,Hancock County,13682,16107,1553,31983,DEM
Maine,Kennebec County,31753,29296,3692,65999,REP
