State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Maryland,Worcester County,15910,8783,651,25571,REP
Maryland,Calvert County,24680,16669,1647,43445,REP
Maryland,Kent County,4598,4178,288,9166,REP
Maryland,Anne Arundel County,114509,116074,9365,242939,DEM
Maryland,Baltimore city,22726,178562,4073,208980,DEM
Maryland,Talbot County,10098,7865,586,18731,REP
Maryland,Somerset County,5056,3484,171,8768,REP
Maryland,Charles County,24163,46063,1555,72480,DEM
Maryland,Washington County,38842,19193,1992,60731,REP
Maryland,Baltimore County,131009,189437,9998,335017,DEM
Maryland,Garrett County,10189,2252,367,12905,REP
Maryland,Caroline County,8999,3747,415,13282,REP
Maryland,Carroll County,55593,24314,4011,84879,REP
Maryland,Frederick County,56472,51891,5005,114962,REP
Maryland,St. Mary's County,26889,15786,2042,45169,REP
Maryland,Dorchester County,7938,5695,307,14034,REP
Maryland,Harford County,74261,43803,4686,124224,REP
Maryland,Howard County,44792,93808,5716,146401,DEM
Maryland,Wicomico County,20832,16327,1175,38722,REP
Maryland,Prince George's County,29290,313627,3963,351091,DEM
Maryland,Allegany County,20025,6665,778,27804,REP
Maryland,Queen Anne's County,16211,7316,855,24633,REP
Maryland,Montgomery County,82985,309761,9917,408300,DEM
Maryland,Cecil County,27579,12651,1544,42309,REP
