State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Massachusetts,Bristol County,104775,127619,10069,246068,DEM
Massachusetts,Essex County,135405,220027,16093,376140,DEM
Massachusetts,Worcester County,157138,197126,21088,380972,DEM
Massachusetts,Berkshire County,16799,43540,2549,64507,DEM
Massachusetts,Hampden County,78230,110313,8262,200220,DEM
Massachusetts,Hampshire County,22089,54572,3078,82329,DEM
Massachusetts,Barnstable County,53842,71632,5304,132667,DEM
Massachusetts,Dukes County,2474,8338,364,11434,DEM
Massachusetts,Franklin County,10327,24369,1886,37987,DEM
Massachusetts,Suffolk County,50042,241212,7891,303517,DEM
Massachusetts,Norfolk County,119171,219129,15497,357781,DEM
Massachusetts,Plymouth County,114722,133828,12459,264168,DEM
Massachusetts,Middlesex County,216163,508919,31984,767337,DEM
Massachusetts,Nantucket County,1892,4144,260,6404,DEM
