State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Michigan,Barry County,19197,9109,1424,30265,REP
Michigan,Marquette County,14646,16042,1458,32897,DEM
Michigan,Macomb County,224589,176238,12860,418773,REP
Michigan,Branch County,11025,4740,525,16490,REP
Michigan,Manistee County,6915,4979,456,12598,REP
Michigan,Wexford County,10000,4436,579,15279,REP
Michigan,Ogemaw County,6827,3030,353,10386,REP
Michigan,Gratiot County,9878,5665,687,16442,REP
Michigan,Lapeer County,30037,12734,1730,45126,REP
Michigan,Mecosta County,10305,5827,697,17149,REP
Michigan,Muskegon County,35962,36640,3170,77114,DEM
Michigan,Alpena County,9090,4877,498,14688,REP
Michigan,Kalkaska County,6213,2279,283,8920,REP
Michigan,Mackinac County,3740,2085,180,6088,REP
Michigan,Oakland County,289127,342976,23143,663255,DEM
Michigan,Ontonagon County,2069,1175,128,3420,REP
Michigan,Baraga County,2158,1156,106,3486,REP
Michigan,Iron County,3675,2004,175,5910,REP
Michigan,Lenawee County,26428,16750,2044,45895,REP
Michigan,Delta County,11112,6431,660,18467,REP
Michigan,Eaton County,27608,24534,2617,55686,REP
Michigan,Gogebic County,4019,2925,213,7313,REP
Michigan,Clinton County,21635,16490,1885,40564,REP
Michigan,Isabella County,12338,11404,1093,25344,REP
Michigan,Midland County,23877,15655,2224,42379,REP
Michigan,Montmorency County,3498,1286,159,5008,REP
Michigan,St. Clair County,49067,24553,2972,77994,REP
Michigan,Schoolcraft County,2556,1369,165,4151,REP
Michigan,Wayne County,228908,517842,18787,775450,DEM
Michigan,Sanilac County,13446,4873,662,19243,REP
Michigan,Alcona County,4201,1732,164,6179,REP
Michigan,Charlevoix County,8674,5137,532,14567,REP
Michigan,Gladwin County,8124,3794,393,12472,REP
Michigan,Monroe County,43255,26859,2985,74101,REP
Michigan,Antrim County,8469,4448,459,13572,REP
Michigan,Ingham County,44354,81266,5369,133478,DEM
Michigan,Lake County,3159,1939,152,5328,REP
Michigan,Emmet County,10616,6972,806,18774,REP
Michigan,Huron County,10629,4579,477,15848,REP
Michigan,Oceana County,7228,3973,492,11903,REP
Michigan,Allegan County,33812,17932,2498,55153,REP
Michigan,Kalamazoo County,51031,67142,5643,125966,DEM
Michigan,Calhoun County,31489,24154,2282,58786,REP
Michigan,Chippewa County,9120,5378,583,15434,REP
Michigan,Montcalm County,16907,7874,1316,26556,REP
Michigan,Otsego County,8266,3556,482,12529,REP
Michigan,Benzie County,5539,4108,382,10221,REP
Michigan,Berrien County,38646,29496,2760,71882,REP
Michigan,Cass County,14241,7270,1453,23272,REP
Michigan,Cheboygan County,8680,4302,463,13647,REP
Michigan,Saginaw County,45469,44395,3199,94198,REP
Michigan,Mason County,8505,5281,601,14658,REP
Michigan,Van Buren County,17890,13258,1480,33213,REP
Michigan,Tuscola County,17421,7493,887,26157,REP
Michigan,Hillsdale County,14094,4799,700,19880,REP
Michigan,Ottawa County,90456,46276,6476,145405,REP
Michigan,Shiawassee County,19232,12547,1660,34044,REP
Michigan,Livingston County,65665,34378,4261,105577,REP
Michigan,Jackson County,39793,25795,2901,69567,REP
Michigan,Bay County,28327,21641,2189,52932,REP
Michigan,Menominee County,6704,3539,351,10765,REP
Michigan,Leelanau County,7239,6774,510,14757,REP
Michigan,Luce County,1756,681,103,2576,REP
Michigan,Genesee County,84174,102744,6221,196135,DEM
Michigan,Alger County,2585,1663,177,4513,REP
Michigan,Clare County,8507,4250,435,13385,REP
Michigan,Houghton County,8475,6018,837,15623,REP
Michigan,Kent County,147959,138567,14235,306270,REP
Michigan,Osceola County,7336,2705,401,10597,REP
Michigan,Oscoda County,2843,1044,140,4062,REP
Michigan,Presque Isle County,4486,2400,237,7215,REP
Michigan,St. Joseph County,14886,7529,935,23765,REP
Michigan,Grand Traverse County,27412,20964,2149,51460,REP
Michigan,Ionia County,16374,8206,1338,26364,REP
Michigan,Arenac County,4704,2238,434,7457,REP
Michigan,Dickinson County,8580,3923,450,13140,REP
Michigan,Roscommon County,8141,4287,413,13036,REP
Michigan,Washtenaw County,50335,128025,5806,187201,DEM
Michigan,Crawford County,4354,2110,267,6833,REP
Michigan,Missaukee County,5386,1565,241,7301,REP
Michigan,Iosco County,8344,4344,459,13349,REP
Michigan,Keweenaw County,814,527,62,1429,REP
Michigan,Newaygo County,15174,6212,878,22605,REP
