State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Minnesota,Carlton County,8160,8460,703,18059,DEM
Minnesota,Clearwater County,2925,1100,94,4225,REP
Minnesota,Pine County,8191,4580,473,13729,REP
Minnesota,Watonwan County,2768,1814,156,4971,REP
Minnesota,Jackson County,3609,1492,181,5453,REP
Minnesota,Kanabec County,5230,2327,298,8125,REP
Minnesota,Martin County,7062,2733,343,10469,REP
Minnesota,Mille Lacs County,8340,3709,451,12948,REP
Minnesota,Waseca County,5967,2838,387,9579,REP
Minnesota,Red Lake County,1141,540,100,1871,REP
Minnesota,Rock County,3091,1373,155,4807,REP
Minnesota,Sherburne County,31049,13299,1927,47938,REP
Minnesota,Kittson County,1349,823,121,2363,REP
Minnesota,Renville County,4890,2117,244,7563,REP
Minnesota,Chippewa County,3764,1978,209,6182,REP
Minnesota,Marshall County,3208,1225,204,4794,REP
Minnesota,Pipestone County,3338,1127,131,4779,REP
Minnesota,Carver County,29057,21508,2461,55102,REP
Minnesota,Swift County,2962,1679,153,4968,REP
Minnesota,Wilkin County,2129,893,146,3279,REP
Minnesota,Brown County,8708,3763,503,13663,REP
Minnesota,Crow Wing County,22287,10982,1174,35568,REP
Minnesota,Norman County,1699,1264,161,3232,REP
Minnesota,Anoka County,93341,75499,7726,184084,REP
Minnesota,Freeborn County,8808,6041,511,15929,REP
Minnesota,McLeod County,12155,4978,857,18684,REP
Minnesota,Mower County,8826,7444,620,17587,REP
Minnesota,Chisago County,18441,9279,1213,30009,REP
Minnesota,Houston County,5616,4145,394,10515,REP
Minnesota,Hubbard County,7269,3432,342,11423,REP
Minnesota,Hennepin County,191768,429283,24400,672644,DEM
Minnesota,Murray County,2974,1295,203,4642,REP
Minnesota,Cottonwood County,3679,1678,150,5697,REP
Minnesota,Nicollet County,8436,7886,831,17914,REP
Minnesota,Winona County,12122,11366,1165,25852,REP
Minnesota,Lac qui Parle County,2294,1301,106,3835,REP
Minnesota,Sibley County,5193,1954,291,7727,REP
Minnesota,Le Sueur County,9182,4623,514,14867,REP
Minnesota,Douglas County,13966,6227,781,21623,REP
Minnesota,Lyon County,7256,3825,523,12129,REP
Minnesota,Beltrami County,10783,8688,780,21316,REP
Minnesota,Dodge County,6527,3102,454,10564,REP
Minnesota,Goodhue County,14041,9446,1130,25538,REP
Minnesota,Itasca County,12920,9015,792,23650,REP
Minnesota,Kandiyohi County,12785,7266,927,21648,REP
Minnesota,Wadena County,4837,1684,164,6894,REP
Minnesota,Scott County,39948,28502,3400,74390,REP
Minnesota,Wabasha County,6989,3866,467,11764,REP
Minnesota,Yellow Medicine County,3382,1524,163,5253,REP
Minnesota,Mahnomen County,991,930,54,2074,REP
Minnesota,Todd County,8485,2783,287,11944,REP
Minnesota,Polk County,8979,4712,517,14698,REP
Minnesota,Roseau County,5451,1856,220,7767,REP
Minnesota,Steele County,11198,6239,808,19040,REP
Minnesota,Lake of the Woods County,1540,553,67,2230,REP
Minnesota,Grant County,2063,1104,159,3453,REP
Minnesota,Redwood County,5137,1887,242,7566,REP
Minnesota,Big Stone County,1607,921,94,2729,REP
Minnesota,Lincoln County,1930,860,112,3002,REP
Minnesota,Morrison County,12925,3637,442,17534,REP
Minnesota,Stevens County,2800,2116,205,5350,REP
Minnesota,Fillmore County,6271,3872,409,10976,REP
Minnesota,Wright County,43274,20336,3002,69154,REP
Minnesota,Cass County,9982,4949,414,15885,REP
Minnesota,Clay County,13549,12974,1486,29108,REP
Minnesota,Faribault County,4659,2153,271,7355,REP
Minnesota,Olmsted County,35668,36266,3547,79277,DEM
Minnesota,Ramsey County,70778,176929,9608,269161,DEM
Minnesota,Blue Earth County,15667,14428,1604,33256,REP
Minnesota,Koochiching County,3569,2306,207,6313,REP
Minnesota,Nobles County,5299,2733,258,8592,REP
Minnesota,Pope County,3793,2106,221,6294,REP
Minnesota,St. Louis County,44631,57769,4366,111260,DEM
Minnesota,Becker County,10880,5208,580,17090,REP
Minnesota,Benton County,12872,5640,683,19911,REP
Minnesota,Isanti County,13635,5656,765,20875,REP
Minnesota,Traverse County,1050,631,41,1791,REP
Minnesota,Stearns County,47618,25575,2972,78985,REP
Minnesota,Washington County,64429,67086,6180,142843,DEM
Minnesota,Cook County,1156,1912,105,3360,DEM
Minnesota,Otter Tail County,20939,9339,1000,32284,REP
Minnesota,Meeker County,8103,3192,449,12198,REP
Minnesota,Aitkin County,5516,3134,263,9185,REP
Minnesota,Dakota County,99624,110251,9867,228659,DEM
Minnesota,Pennington County,4000,2146,315,6671,REP
Minnesota,Rice County,15429,14437,1230,32217,REP
Minnesota,Lake County,2932,3077,215,6472,DEM
