State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Mississippi,Clarke County,5088,2556,29,7713,REP
Mississippi,Montgomery County,2334,1775,25,4162,REP
Mississippi,Panola County,7371,7300,95,14854,REP
Mississippi,Tate County,7385,3804,110,11389,REP
Mississippi,Yazoo County,4568,5221,47,9892,DEM
Mississippi,Harrison County,39710,20679,1183,62076,REP
Mississippi,Amite County,4282,2688,38,7033,REP
Mississippi,Coahoma County,2426,6378,53,8912,DEM
Mississippi,Covington County,5423,3267,61,8790,REP
Mississippi,Lowndes County,13124,11545,281,25139,REP
Mississippi,Tunica County,840,2577,18,3463,DEM
Mississippi,Forrest County,15149,11271,584,27284,REP
Mississippi,Clay County,4136,5695,68,9960,DEM
Mississippi,DeSoto County,42155,19892,1305,64022,REP
Mississippi,Tippah County,7182,1808,72,9143,REP
Mississippi,Winston County,4874,3778,54,8771,REP
Mississippi,Yalobusha County,3366,2574,70,6058,REP
Mississippi,Alcorn County,11817,2684,167,14781,REP
Mississippi,Chickasaw County,4127,3649,61,7890,REP
Mississippi,Claiborne County,414,2523,5,2954,DEM
Mississippi,Copiah County,5576,6203,65,11906,DEM
Mississippi,Itawamba County,8385,1100,84,9634,REP
Mississippi,Lauderdale County,17574,10910,296,28967,REP
Mississippi,Quitman County,998,2303,20,3353,DEM
Mississippi,Sunflower County,2768,6560,27,9406,DEM
Mississippi,Wayne County,5957,3493,45,9534,REP
Mississippi,Rankin County,46168,13741,946,61356,REP
Mississippi,Stone County,4810,1400,104,6368,REP
Mississippi,Pearl River County,15530,2919,275,18893,REP
Mississippi,Issaquena County,298,395,4,699,DEM
Mississippi,Leake County,4775,3579,39,8436,REP
Mississippi,Sharkey County,619,1290,8,1926,DEM
Mississippi,Smith County,5877,1598,51,7556,REP
Mississippi,Grenada County,5940,4386,68,10442,REP
Mississippi,Hinds County,24919,64922,937,91536,DEM
Mississippi,Lee County,21695,9635,390,31974,REP
Mississippi,Madison County,25607,18358,748,45048,REP
Mississippi,Prentiss County,7647,2067,79,9871,REP
Mississippi,Marion County,7697,3572,105,11443,REP
Mississippi,Hancock County,13720,3320,309,17517,REP
Mississippi,Jackson County,31204,13087,820,45465,REP
Mississippi,Leflore County,2757,6677,73,9566,DEM
Mississippi,Scott County,5742,3999,75,9867,REP
Mississippi,Webster County,3949,1001,27,5024,REP
Mississippi,Lamar County,18493,5044,446,24179,REP
Mississippi,Warren County,9420,8518,217,18287,REP
Mississippi,Holmes County,1151,5820,22,7045,DEM
Mississippi,Attala County,4288,2847,50,7242,REP
Mississippi,Benton County,2240,1713,28,3996,REP
Mississippi,Kemper County,1778,2827,18,4639,DEM
Mississippi,Pontotoc County,9442,2123,138,11811,REP
Mississippi,Bolivar County,4251,8410,92,12831,DEM
Mississippi,Carroll County,3774,1648,28,5470,REP
Mississippi,Greene County,4309,956,28,5325,REP
Mississippi,Marshall County,6525,7944,95,14698,DEM
Mississippi,Neshoba County,7613,2668,83,10438,REP
Mississippi,Perry County,4135,1220,47,5432,REP
Mississippi,Jones County,20076,7748,267,28250,REP
Mississippi,Walthall County,3374,2475,24,5909,REP
Mississippi,Calhoun County,4360,1884,49,6339,REP
Mississippi,Jasper County,4032,4367,28,8468,DEM
Mississippi,Jefferson County,489,3337,13,3859,DEM
Mississippi,Monroe County,10107,5485,106,15781,REP
Mississippi,Union County,9161,1969,129,11374,REP
Mississippi,Lafayette County,10872,7968,577,19642,REP
Mississippi,Newton County,5929,2549,59,8594,REP
Mississippi,Oktibbeha County,7671,7851,420,16151,DEM
Mississippi,Simpson County,7393,3871,74,11416,REP
Mississippi,Washington County,4541,9847,99,14571,DEM
Mississippi,Lawrence County,4072,2181,39,6329,REP
Mississippi,Franklin County,2685,1471,21,4219,REP
Mississippi,Tallahatchie County,2462,3337,31,5870,DEM
Mississippi,Wilkinson County,1305,2826,15,4174,DEM
Mississippi,George County,8652,1013,89,9831,REP
Mississippi,Jefferson Davis County,2466,3720,21,6237,DEM
Mississippi,Noxubee County,1181,4330,12,5538,DEM
Mississippi,Tishomingo County,7117,990,138,8310,REP
Mississippi,Humphreys County,924,2652,10,3599,DEM
Mississippi,Pike County,7748,7636,138,15633,REP
Mississippi,Adams County,5125,6921,102,12214,DEM
Mississippi,Choctaw County,2763,1198,26,4020,REP
Mississippi,Lincoln County,10550,4458,89,15193,REP
