State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Missouri,Dade County,3184,637,94,3951,REP
Missouri,Clinton County,7058,2572,432,10197,REP
Missouri,DeKalb County,3540,824,178,4590,REP
Missouri,Dunklin County,8026,2360,142,10574,REP
Missouri,Greene County,77387,42400,5706,127609,REP
Missouri,Livingston County,4879,1265,213,6408,REP
Missouri,Marion County,9418,2993,379,12902,REP
Missouri,Taney County,18240,4367,521,23399,REP
Missouri,Randolph County,7529,2283,392,10309,REP
Missouri,Madison County,4102,1005,150,5318,REP
Missouri,Dallas County,5895,1271,180,7440,REP
Missouri,Pike County,5274,1806,208,7375,REP
Missouri,Pemiscot County,3964,1946,78,6025,REP
Missouri,St. Louis County,199081,280866,16310,503493,DEM
Missouri,Linn County,4084,1239,172,5572,REP
Missouri,McDonald County,6599,1329,191,8233,REP
Missouri,Gentry County,2304,605,108,3033,REP
Missouri,Shelby County,2524,606,92,3252,REP
Missouri,Stoddard County,11077,1873,238,13278,REP
Missouri,Audrain County,6981,2567,363,10043,REP
Missouri,Barry County,11427,2710,338,14604,REP
Missouri,Boone County,36146,41072,4262,83312,DEM
Missouri,Grundy County,3462,780,118,4413,REP
Missouri,Johnson County,13702,5924,1094,21087,REP
Missouri,Mercer County,1486,216,27,1739,REP
Missouri,Ray County,7103,3088,508,10835,REP
Missouri,Holt County,1926,346,66,2348,REP
Missouri,Perry County,6907,1520,231,8732,REP
Missouri,Ste. Genevieve County,5495,2540,323,8459,REP
Missouri,Wayne County,4640,946,105,5738,REP
Missouri,Cape Girardeau County,26939,8468,1106,36875,REP
Missouri,Atchison County,2059,541,104,2723,REP
Missouri,Cooper County,5623,1932,306,7976,REP
Missouri,Howell County,13888,2880,434,17415,REP
Missouri,Lafayette County,10977,4047,597,15815,REP
Missouri,Maries County,3559,794,110,4498,REP
Missouri,Vernon County,6526,1706,235,8576,REP
Missouri,Camden County,16721,4706,588,22182,REP
Missouri,Lewis County,3343,933,127,4452,REP
Missouri,Ralls County,3969,1138,120,5266,REP
Missouri,Clay County,57328,45182,5132,109237,REP
Missouri,Jackson County,114777,163723,10689,294063,DEM
Missouri,Nodaway County,6379,2529,401,9439,REP
Missouri,Osage County,5845,998,182,7078,REP
Missouri,Saline County,5977,2787,383,9245,REP
Missouri,Bates County,6000,1617,306,8021,REP
Missouri,Cole County,24610,10907,1376,37261,REP
Missouri,Howard County,3277,1279,209,4851,REP
Missouri,Moniteau County,5344,1237,175,6808,REP
Missouri,Texas County,8875,1728,222,10935,REP
Missouri,Clark County,2458,724,101,3316,REP
Missouri,Mississippi County,3600,1458,79,5165,REP
Missouri,Putnam County,1936,352,36,2342,REP
Missouri,Butler County,13647,3036,392,17232,REP
Missouri,Adair County,6019,3495,426,10137,REP
Missouri,Cass County,33006,14816,2152,50715,REP
Missouri,Gasconade County,5670,1519,180,7444,REP
Missouri,Laclede County,12834,2543,426,15959,REP
Missouri,Polk County,10435,2630,479,13709,REP
Missouri,St. Francois County,17467,6250,712,24714,REP
Missouri,Scott County,13168,3574,373,17244,REP
Missouri,Warren County,11109,3915,534,15766,REP
Missouri,Washington County,7047,1926,197,9279,REP
Missouri,Cedar County,5019,1010,179,6278,REP
Missouri,Crawford County,7724,1824,224,9920,REP
Missouri,Shannon County,2966,776,106,3904,REP
Missouri,Christian County,30941,8505,1494,41394,REP
Missouri,Jasper County,35058,10565,1759,48179,REP
Missouri,Montgomery County,4124,1118,133,5424,REP
Missouri,New Madrid County,5270,1933,106,7352,REP
Missouri,Newton County,20546,4988,641,26506,REP
Missouri,Schuyler County,1505,354,65,1933,REP
Missouri,Carter County,2323,436,54,2842,REP
Missouri,Knox County,1413,379,53,1867,REP
Missouri,Lincoln County,18111,5561,808,24857,REP
Missouri,Ripley County,4520,830,115,5518,REP
Missouri,St. Charles County,120899,68225,7913,199513,REP
Missouri,Monroe County,3159,853,114,4147,REP
Missouri,Reynolds County,2402,540,62,3032,REP
Missouri,Jefferson County,68973,31546,3966,105969,REP
Missouri,Lawrence County,13084,2898,471,16674,REP
Missouri,Hickory County,3539,1016,108,4717,REP
Missouri,Daviess County,2763,730,143,3689,REP
Missouri,Dent County,5599,978,136,6778,REP
Missouri,Miller County,9285,1750,283,11414,REP
Missouri,Buchanan County,21315,12010,1709,35563,REP
Missouri,Carroll County,3480,745,106,4361,REP
Missouri,Chariton County,2948,888,97,3962,REP
Missouri,Henry County,7072,2356,311,9855,REP
Missouri,Barton County,4958,795,135,5932,REP
Missouri,Callaway County,13052,4988,752,19127,REP
Missouri,Morgan County,6757,1768,202,8815,REP
Missouri,Wright County,6703,1166,153,8086,REP
Missouri,Benton County,7212,2024,278,9584,REP
Missouri,Franklin County,35420,12339,1627,50045,REP
Missouri,Iron County,3173,933,110,4260,REP
Missouri,Pulaski County,9870,2918,477,13443,REP
Missouri,Pettis County,12792,4322,733,18045,REP
Missouri,Stone County,13149,2886,382,16538,REP
Missouri,Bollinger County,4827,705,97,5669,REP
Missouri,St. Louis city,20281,101487,3405,127403,DEM
Missouri,Worth County,808,195,32,1046,REP
Missouri,Caldwell County,3231,837,188,4309,REP
Missouri,Macon County,5794,1518,175,7579,REP
Missouri,Scotland County,1525,365,50,1968,REP
Missouri,Sullivan County,1884,526,58,2484,REP
Missouri,Webster County,12829,3173,514,16690,REP
Missouri,St. Clair County,3501,936,146,4630,REP
Missouri,Andrew County,6665,2045,336,9140,REP
Missouri,Douglas County,5486,984,135,6664,REP
