State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Nebraska,Butler County,3068,690,129,3914,REP
Nebraska,Hitchcock County,1216,158,60,1440,REP
Nebraska,Cedar County,3533,572,224,4360,REP
Nebraska,Dodge County,9736,4451,617,14959,REP
Nebraska,Howard County,2284,544,108,2958,REP
Nebraska,Sherman County,1143,338,59,1553,REP
Nebraska,Merrick County,2914,601,165,3707,REP
Nebraska,Morrill County,1788,282,82,2166,REP
Nebraska,Sheridan County,2192,286,69,2565,REP
Nebraska,Greeley County,911,210,38,1165,REP
Nebraska,Harlan County,1302,219,54,1582,REP
Nebraska,Furnas County,1915,304,85,2315,REP
Nebraska,Gosper County,792,165,37,1000,REP
Nebraska,Grant County,367,20,6,394,REP
Nebraska,Keya Paha County,458,39,17,514,REP
Nebraska,Lincoln County,11992,2878,698,15674,REP
Nebraska,Chase County,1621,171,53,1851,DEM
Nebraska,Sarpy County,44649,27704,4611,77781,REP
Nebraska,Thayer County,1993,490,120,2613,REP
Nebraska,Wheeler County,377,62,16,459,REP
Nebraska,York County,4686,1181,337,6256,REP
Nebraska,Custer County,4616,635,201,5489,REP
Nebraska,Dakota County,4028,2904,268,7259,REP
Nebraska,Dixon County,2041,556,130,2744,REP
Nebraska,Fillmore County,2100,610,149,2879,REP
Nebraska,Johnson County,1348,560,121,2051,REP
Nebraska,Kearney County,2519,550,147,3242,REP
Nebraska,McPherson County,257,14,14,286,REP
Nebraska,Richardson County,2684,798,157,3666,REP
Nebraska,Clay County,2373,470,115,2973,REP
Nebraska,Brown County,1380,153,39,1579,DEM
Nebraska,Cuming County,3095,712,156,3988,REP
Nebraska,Saunders County,7486,2509,508,10598,REP
Nebraska,Cherry County,2623,317,127,3082,REP
Nebraska,Gage County,6333,2930,489,9854,REP
Nebraska,Hamilton County,3763,873,223,4902,REP
Nebraska,Stanton County,2173,417,144,2748,REP
Nebraska,Hayes County,471,30,8,510,REP
Nebraska,Logan County,400,32,18,451,REP
Nebraska,Platte County,10864,2612,487,14047,REP
Nebraska,Adams County,9205,3272,585,13172,REP
Nebraska,Antelope County,2717,381,103,3220,REP
Nebraska,Dawes County,2559,785,186,3578,REP
Nebraska,Scotts Bluff County,9952,3151,670,13895,REP
Nebraska,Otoe County,4833,2017,372,7279,REP
Nebraska,Red Willow County,4212,638,185,5061,REP
Nebraska,Seward County,5451,1881,340,7754,REP
Nebraska,Boyd County,978,128,23,1142,REP
Nebraska,Pierce County,3052,382,125,3580,REP
Nebraska,Polk County,2019,411,102,2538,REP
Nebraska,Rock County,687,70,32,793,REP
Nebraska,Valley County,1770,337,53,2172,REP
Nebraska,Wayne County,2675,828,202,3740,REP
Nebraska,Arthur County,237,16,10,263,REP
Nebraska,Dawson County,5935,2116,377,8486,REP
Nebraska,Knox County,3181,715,136,4061,REP
Nebraska,Lancaster County,60456,60533,6915,129803,DEM
Nebraska,Pawnee County,970,279,55,1314,REP
Nebraska,Deuel County,809,120,47,977,REP
Nebraska,Hall County,14139,6142,866,21331,REP
Nebraska,Hooker County,355,40,16,414,DEM
Nebraska,Nuckolls County,1709,348,77,2153,REP
Nebraska,Loup County,323,48,10,382,REP
Nebraska,Washington County,7374,2606,509,10584,REP
Nebraska,Keith County,3203,560,158,3945,REP
Nebraska,Banner County,355,18,14,390,REP
Nebraska,Buffalo County,14424,4690,1144,20477,REP
Nebraska,Colfax County,2171,857,118,3172,REP
Nebraska,Franklin County,1345,250,54,1656,REP
Nebraska,Garden County,869,153,39,1063,REP
Nebraska,Holt County,4275,522,155,4979,REP
Nebraska,Jefferson County,2387,831,182,3430,REP
Nebraska,Nance County,1257,280,47,1599,REP
Nebraska,Saline County,2849,1630,267,4795,REP
Nebraska,Thomas County,344,30,10,387,REP
Nebraska,Webster County,1320,306,51,1687,REP
Nebraska,Box Butte County,3550,953,223,4761,REP
Nebraska,Kimball County,1317,227,74,1636,REP
Nebraska,Nemaha County,2068,765,176,3035,REP
Nebraska,Thurston County,1013,911,56,2029,REP
Nebraska,Madison County,10518,2663,654,13956,REP
Nebraska,Sioux County,602,77,26,709,REP
Nebraska,Boone County,2299,414,137,2867,REP
Nebraska,Burt County,2360,928,196,3523,REP
Nebraska,Cheyenne County,3610,702,211,4569,REP
Nebraska,Douglas County,102151,105207,9573,219531,DEM
Nebraska,Dundy County,823,89,31,949,DEM
Nebraska,Frontier County,1106,161,35,1310,REP
Nebraska,Perkins County,1202,160,52,1418,REP
Nebraska,Blaine County,273,30,10,313,DEM
Nebraska,Cass County,8388,3461,629,12609,REP
Nebraska,Garfield County,819,121,23,968,REP
Nebraska,Phelps County,3832,571,188,4609,REP
