State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Nevada,Humboldt County,4521,1386,269,6433,REP
Nevada,Douglas County,17406,8453,1002,27871,REP
Nevada,Nye County,13320,5095,552,19592,REP
Nevada,Churchill County,7828,2210,450,10936,REP
Nevada,Elko County,13542,3400,824,18545,REP
Nevada,Washoe County,94529,97032,9251,209282,DEM
Nevada,Eureka County,723,74,19,854,REP
Nevada,Lyon County,16005,6146,813,23762,REP
Nevada,Esmeralda County,329,65,15,423,REP
Nevada,Lincoln County,1671,285,62,2132,REP
Nevada,Storey County,1616,752,100,2558,REP
Nevada,White Pine County,2723,707,151,3773,REP
Nevada,Lander County,1828,403,79,2413,REP
Nevada,Carson City,13125,9610,1159,25016,REP
Nevada,Clark County,319571,401068,22407,765421,DEM
Nevada,Pershing County,1403,430,58,1982,REP
Nevada,Mineral County,1179,637,88,1997,REP
