State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
New Hampshire,Merrimack County,37674,40198,3378,82041,DEM
New Hampshire,Cheshire County,16876,22064,1656,41120,DEM
New Hampshire,Coos County,7951,6558,576,15278,REP
New Hampshire,Strafford County,29072,34894,3258,67984,DEM
New Hampshire,Belknap County,19315,13517,1346,34497,REP
New Hampshire,Rockingham County,90447,79994,7336,179138,REP
New Hampshire,Hillsborough County,100013,99589,9268,210844,REP
New Hampshire,Sullivan County,10796,10210,857,22129,REP
New Hampshire,Grafton County,19010,28510,1967,50115,DEM
New Hampshire,Carroll County,14635,12987,1185,29083,REP
