State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
New Jersey,Atlantic County,47882,54472,1915,105738,DEM
New Jersey,Middlesex County,108981,164887,4686,282668,DEM
New Jersey,Burlington County,79539,108361,4381,194988,DEM
New Jersey,Passaic County,71488,112608,2478,189099,DEM
New Jersey,Sussex County,46486,24132,2018,73860,REP
New Jersey,Salem County,16256,11766,855,29220,REP
New Jersey,Hudson County,45615,149980,2603,201425,DEM
New Jersey,Warren County,29393,16991,1241,48442,REP
New Jersey,Mercer County,42604,93721,2907,141332,DEM
New Jersey,Monmouth County,165305,135825,6321,311474,REP
New Jersey,Ocean County,170103,81845,4563,259592,REP
New Jersey,Bergen County,163220,209251,7037,383965,DEM
New Jersey,Essex County,62059,231031,3028,299808,DEM
New Jersey,Union County,67582,145412,3598,219385,DEM
New Jersey,Hunterdon County,38565,28797,2208,70582,REP
New Jersey,Cumberland County,24213,27045,1029,53018,DEM
New Jersey,Camden County,71020,142375,4142,220437,DEM
New Jersey,Cape May County,28237,18626,895,48375,REP
New Jersey,Somerset County,64640,83839,3694,154249,DEM
New Jersey,Morris County,125376,114437,5903,248848,REP
New Jersey,Gloucester County,66949,66355,3193,138388,REP
