State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
New Mexico,Quay County,2208,1016,299,3567,REP
New Mexico,Cibola County,3179,3721,961,8017,DEM
New Mexico,Lea County,12306,3877,1081,17449,REP
New Mexico,Otero County,11756,6033,1584,19791,REP
New Mexico,Bernalillo County,93874,141960,29393,272004,DEM
New Mexico,Santa Fe County,14198,49956,4313,70376,DEM
New Mexico,Curry County,7560,2776,842,11383,REP
New Mexico,Harding County,311,156,55,527,REP
New Mexico,Roosevelt County,3865,1445,474,5912,REP
New Mexico,Union County,1214,318,133,1697,REP
New Mexico,Doqa Ana County,25095,37543,5413,69875,DEM
New Mexico,McKinley County,4893,13162,2319,20959,DEM
New Mexico,Colfax County,2569,2118,524,5302,REP
New Mexico,Sandoval County,25748,27405,6588,61146,DEM
New Mexico,Catron County,1453,426,109,2035,REP
New Mexico,Hidalgo County,906,780,137,1863,REP
New Mexico,Valencia County,13175,10810,3038,27509,REP
New Mexico,Los Alamos County,3329,5443,1498,10716,DEM
New Mexico,Socorro County,2592,3275,794,6792,DEM
New Mexico,Guadalupe County,591,962,237,1814,DEM
New Mexico,San Juan County,27879,12826,4177,45975,REP
New Mexico,De Baca County,617,192,88,905,REP
New Mexico,Grant County,5251,6226,888,12713,DEM
New Mexico,Mora County,662,1533,193,2434,DEM
New Mexico,Rio Arriba County,3583,9534,1418,14795,DEM
New Mexico,San Miguel County,2302,7249,910,10697,DEM
New Mexico,Chaves County,12869,5530,1606,20261,REP
New Mexico,Eddy County,13124,5008,1262,19602,REP
New Mexico,Taos County,2706,10550,1170,15103,DEM
New Mexico,Luna County,3478,3195,481,7295,REP
New Mexico,Sierra County,2998,1600,437,5149,REP
New Mexico,Lincoln County,5889,2329,559,8892,REP
New Mexico,Torrance County,3695,1770,688,6286,REP
