State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
New York,Franklin County,7636,6517,657,15148,REP
New York,Onondaga County,78277,102915,7861,191962,DEM
New York,Ontario County,24343,20233,2285,47664,REP
New York,Oswego County,25870,15614,1976,44122,REP
New York,Bronx County,34424,318403,2070,358857,REP
New York,Monroe County,128871,174063,12273,320164,DEM
New York,Rensselaer County,31933,30039,2758,65991,REP
New York,Ulster County,32962,40010,2176,77134,DEM
New York,Steuben County,25091,11215,1522,38373,REP
New York,Wyoming County,11884,3585,640,16280,REP
New York,Allegany County,11712,4473,675,17111,REP
New York,Jefferson County,19947,12289,1467,34263,REP
New York,Sullivan County,14626,10983,518,26509,REP
New York,Essex County,7275,6760,664,15079,REP
New York,Chemung County,19025,12394,1347,33195,REP
New York,Schoharie County,8173,3777,470,12673,REP
New York,Greene County,11546,6370,568,18869,REP
New York,Dutchess County,58163,56874,3304,120199,REP
New York,Clinton County,13181,13446,1185,28378,DEM
New York,Columbia County,12756,13123,839,27255,DEM
New York,Otsego County,12284,9285,977,23024,REP
New York,Suffolk County,328403,276953,12761,625720,REP
New York,Livingston County,19211,10478,1245,31363,REP
New York,Delaware County,11012,5825,597,17778,REP
New York,Madison County,14901,10548,1460,27392,REP
New York,Erie County,173817,192065,11542,383248,DEM
New York,New York County,58935,515481,8437,591368,REP
New York,Putnam County,25241,17363,1039,44186,REP
New York,Richmond County,95612,67561,2262,167209,REP
New York,Seneca County,6719,5175,589,12727,REP
New York,Tioga County,12528,6852,856,20556,REP
New York,Genesee County,15986,6946,1239,24463,REP
New York,Montgomery County,10579,5961,648,17438,REP
New York,Hamilton County,1795,752,102,2688,REP
New York,Schenectady County,27268,30870,2445,61629,DEM
New York,Washington County,12770,8238,843,22401,REP
New York,Cattaraugus County,18668,8717,1157,28961,REP
New York,Cayuga County,16194,12202,1255,30124,REP
New York,Herkimer County,15664,7289,938,24261,REP
New York,Rockland County,57148,63454,2096,123943,DEM
New York,Tompkins County,9647,25555,1287,37747,DEM
New York,Chautauqua County,29418,17281,1985,49381,REP
New York,Cortland County,9207,7976,888,18424,REP
New York,Warren County,14284,11366,1129,27568,REP
New York,Yates County,5180,3219,440,8975,REP
New York,Niagara County,49223,32888,2666,86000,REP
New York,Fulton County,12759,5805,711,19563,REP
New York,Oneida County,48490,30749,3478,83876,REP
New York,Saratoga County,51088,46546,4741,104089,REP
New York,Chenango County,11024,5943,823,18113,REP
New York,Kings County,133653,595086,6391,746295,DEM
New York,Lewis County,6916,2828,446,10312,REP
New York,Westchester County,121643,245670,7185,378506,DEM
New York,Orange County,72129,63037,3570,140753,REP
New York,Orleans County,11582,4327,634,16722,REP
New York,St. Lawrence County,18450,14659,1299,35154,REP
New York,Wayne County,21935,12378,1765,36598,REP
New York,Albany County,44227,74775,4351,125644,DEM
New York,Queens County,138550,473389,6570,627021,DEM
New York,Schuyler County,5179,2761,283,8423,REP
New York,Broome County,38077,35212,2963,77657,REP
New York,Nassau County,275479,307326,10488,599649,DEM
