State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
North Dakota,Sioux County,256,758,25,1177,DEM
North Dakota,Renville County,978,200,68,1255,REP
North Dakota,Walsh County,2991,1166,330,4543,REP
North Dakota,Hettinger County,1032,168,46,1261,REP
North Dakota,Williams County,10033,1722,622,12529,REP
North Dakota,Grand Forks County,16325,10828,2002,29711,REP
North Dakota,Kidder County,1106,179,63,1358,REP
North Dakota,LaMoure County,1475,500,107,2115,REP
North Dakota,Logan County,867,112,38,1030,REP
North Dakota,Nelson County,1025,536,113,1694,REP
North Dakota,Mountrail County,2551,1211,163,4009,REP
North Dakota,Barnes County,3156,1597,406,5253,REP
North Dakota,McKenzie County,3661,696,171,4594,REP
North Dakota,Cavalier County,1356,476,110,1969,REP
North Dakota,Steele County,537,361,73,984,REP
North Dakota,Towner County,733,305,89,1137,REP
North Dakota,Stutsman County,6706,2484,571,9938,REP
North Dakota,Traill County,2263,1239,289,3864,REP
North Dakota,Adams County,904,216,65,1206,REP
North Dakota,Dickey County,1656,551,122,2372,REP
North Dakota,Divide County,860,243,70,1187,REP
North Dakota,Wells County,1793,419,101,2352,REP
North Dakota,Ramsey County,3216,1505,405,5218,REP
North Dakota,Burleigh County,32499,10865,2719,46874,REP
North Dakota,Grant County,1098,187,63,1361,REP
North Dakota,Cass County,39738,31291,6077,78807,REP
North Dakota,Pierce County,1433,431,132,2020,REP
North Dakota,Sargent County,1088,693,166,1978,REP
North Dakota,Burke County,879,118,26,1031,REP
North Dakota,Foster County,1237,346,96,1699,REP
North Dakota,McHenry County,1991,474,182,2687,REP
North Dakota,McIntosh County,1095,233,71,1423,REP
North Dakota,Morton County,11319,3077,912,15547,REP
North Dakota,Benson County,927,842,112,1940,REP
North Dakota,Billings County,492,58,31,592,DEM
North Dakota,Bowman County,1445,227,78,1769,REP
North Dakota,McLean County,3827,1070,249,5206,REP
North Dakota,Mercer County,3715,616,188,4564,REP
North Dakota,Sheridan County,644,94,29,774,REP
North Dakota,Emmons County,1672,215,52,1959,REP
North Dakota,Griggs County,847,298,93,1247,REP
North Dakota,Dunn County,1753,356,60,2199,REP
North Dakota,Pembina County,2204,681,167,3093,REP
North Dakota,Richland County,4759,2064,492,7460,REP
North Dakota,Rolette County,1210,2097,155,3662,DEM
North Dakota,Eddy County,790,354,53,1219,REP
North Dakota,Golden Valley County,793,99,40,942,REP
North Dakota,Slope County,361,42,19,427,DEM
North Dakota,Oliver County,827,119,46,1002,REP
North Dakota,Ward County,18601,5792,2050,26861,REP
North Dakota,Bottineau County,2482,734,177,3437,REP
North Dakota,Stark County,9718,1745,522,12115,REP
North Dakota,Ransom County,1209,836,245,2317,REP
