State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Ohio,Hardin County,8541,2870,450,12014,REP
Ohio,Lawrence County,18240,6849,564,25949,REP
Ohio,Preble County,15376,4323,548,20475,REP
Ohio,Belmont County,20729,8652,760,30537,REP
Ohio,Champaign County,12314,4488,555,17597,REP
Ohio,Fairfield County,43163,24150,2341,70542,REP
Ohio,Meigs County,6869,2157,263,9410,REP
Ohio,Brown County,14257,4270,419,19139,REP
Ohio,Darke County,19698,4395,639,25000,REP
Ohio,Richland County,35805,15629,1586,53739,REP
Ohio,Henry County,9136,3690,638,13671,REP
Ohio,Coshocton County,10381,3908,447,14961,REP
Ohio,Fulton County,13419,5981,993,20693,REP
Ohio,Ross County,17833,9905,869,28955,REP
Ohio,Williams County,11706,4287,690,16938,REP
Ohio,Clark County,34311,22666,1831,59620,REP
Ohio,Defiance County,11478,5282,766,17795,REP
Ohio,Mahoning County,52808,56188,2559,112827,DEM
Ohio,Montgomery County,120766,117661,8085,249560,REP
Ohio,Scioto County,19742,8841,671,29618,REP
Ohio,Crawford County,13265,4518,687,18702,REP
Ohio,Fayette County,7763,2672,283,10817,REP
Ohio,Erie County,19301,15692,1185,36730,REP
Ohio,Hancock County,23777,9419,1493,35216,REP
Ohio,Stark County,96345,66581,5541,170868,REP
Ohio,Adams County,8445,2293,220,11063,REP
Ohio,Highland County,13005,3436,428,17048,REP
Ohio,Lucas County,74102,107363,7214,191684,DEM
Ohio,Paulding County,6359,2068,269,8842,REP
Ohio,Clermont County,65960,26096,3385,96455,REP
Ohio,Licking County,49346,26360,2575,79399,REP
Ohio,Medina County,53811,31582,2893,89360,REP
Ohio,Mercer County,17200,3335,552,21315,REP
Ohio,Muskingum County,23588,10926,1215,36217,REP
Ohio,Franklin County,192328,335961,18851,554711,DEM
Ohio,Seneca County,14559,7237,1270,23481,REP
Ohio,Van Wert County,10328,2667,419,13584,REP
Ohio,Carroll County,9067,3124,444,12807,REP
Ohio,Noble County,4441,1201,148,5875,REP
Ohio,Putnam County,14704,2874,626,18387,REP
Ohio,Shelby County,18148,4143,572,23110,REP
Ohio,Wyandot County,7346,2484,424,10396,REP
Ohio,Huron County,15930,7080,897,24332,REP
Ohio,Morrow County,11722,3711,555,16186,REP
Ohio,Pike County,7669,3443,269,11513,REP
Ohio,Guernsey County,11164,4286,529,16156,REP
Ohio,Hamilton County,169972,207587,12750,395000,DEM
Ohio,Knox County,18563,7959,881,27768,REP
Ohio,Lake County,62627,45056,3702,112790,REP
Ohio,Tuscarawas County,26105,11895,1560,40088,REP
Ohio,Athens County,10816,15552,944,27941,DEM
Ohio,Marion County,16563,7748,956,25648,REP
Ohio,Morgan County,4315,1711,186,6290,REP
Ohio,Warren County,75947,33036,4237,114254,REP
Ohio,Allen County,29858,12815,1440,44636,REP
Ohio,Clinton County,13466,3943,488,18100,REP
Ohio,Geauga County,29577,17165,1452,48736,REP
Ohio,Sandusky County,16045,9733,1229,27491,REP
Ohio,Gallia County,9567,2564,282,12588,REP
Ohio,Miami County,36311,12832,1792,51467,REP
Ohio,Monroe County,4781,1647,161,6686,REP
Ohio,Union County,17601,7530,1088,26533,REP
Ohio,Ashtabula County,22755,15191,1181,39809,REP
Ohio,Delaware County,55660,39584,3919,100101,REP
Ohio,Jackson County,9618,3142,352,13239,REP
Ohio,Perry County,9978,4072,394,14647,REP
Ohio,Jefferson County,20668,9483,815,31346,REP
Ohio,Pickaway County,16482,6325,732,23814,REP
Ohio,Portage County,38978,31463,2325,73968,REP
Ohio,Ottawa County,12389,8136,935,21742,REP
Ohio,Harrison County,5021,1663,171,6956,REP
Ohio,Madison County,11319,4662,583,16754,REP
Ohio,Wood County,31734,26440,3133,62287,REP
Ohio,Ashland County,17169,5659,888,24074,REP
Ohio,Auglaize County,18130,3825,673,22860,REP
Ohio,Trumbull County,48152,42130,2434,94073,REP
Ohio,Cuyahoga County,179894,383974,12526,583230,DEM
Ohio,Greene County,47506,28023,3169,79633,REP
Ohio,Columbiana County,31086,12273,1368,45261,REP
Ohio,Hocking County,8282,3713,352,12513,REP
Ohio,Holmes County,8578,1766,369,10823,REP
Ohio,Wayne County,31622,14670,1586,48550,REP
Ohio,Vinton County,3799,1332,164,5393,REP
Ohio,Summit County,109531,129922,7226,249937,DEM
Ohio,Washington County,19901,7841,872,28992,REP
Ohio,Butler County,104441,56700,5612,168422,REP
Ohio,Logan County,15586,4537,640,21007,REP
Ohio,Lorain County,65346,64958,4414,136654,REP
