State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Oklahoma,Adair County,4753,1374,341,6468,REP
Oklahoma,Love County,2920,735,132,3787,REP
Oklahoma,Payne County,16644,8785,2320,27749,REP
Oklahoma,Stephens County,14166,3084,636,17886,REP
Oklahoma,Choctaw County,4202,1064,153,5419,REP
Oklahoma,McCurtain County,8642,1799,268,10709,REP
Oklahoma,Marshall County,4202,1095,190,5487,REP
Oklahoma,Okfuskee County,2791,943,199,3933,REP
Oklahoma,Woodward County,6329,871,373,7573,REP
Oklahoma,Hughes County,3387,961,177,4525,REP
Oklahoma,Mayes County,11550,3423,739,15712,REP
Oklahoma,Ottawa County,7627,2584,475,10686,REP
Oklahoma,Major County,2940,310,149,3399,DEM
Oklahoma,Pontotoc County,10420,3633,761,14814,REP
Oklahoma,Caddo County,6473,2418,445,9336,REP
Oklahoma,Logan County,13613,4239,1096,18948,REP
Oklahoma,Noble County,3707,901,262,4870,REP
Oklahoma,Oklahoma County,141429,112661,19519,273609,REP
Oklahoma,Rogers County,30893,7895,2046,40834,REP
Oklahoma,Le Flore County,13346,3245,608,17199,REP
Oklahoma,Atoka County,4068,795,139,5002,REP
Oklahoma,Delaware County,11796,3306,578,15680,REP
Oklahoma,Garvin County,8243,1852,436,10531,REP
Oklahoma,Kiowa County,2593,766,130,3489,REP
Oklahoma,Latimer County,3094,797,159,4050,REP
Oklahoma,Cotton County,2054,424,124,2602,REP
Oklahoma,Murray County,4173,1086,266,5525,REP
Oklahoma,Pushmataha County,3581,748,154,4483,REP
Oklahoma,Bryan County,10449,2793,533,13775,REP
Oklahoma,Dewey County,1964,222,60,2246,DEM
Oklahoma,Grant County,1827,287,86,2200,REP
Oklahoma,Jackson County,5969,1473,364,7806,REP
Oklahoma,Nowata County,3321,742,174,4237,REP
Oklahoma,Wagoner County,22967,6711,1568,31246,REP
Oklahoma,Pittsburg County,12740,3704,806,17250,REP
Oklahoma,Kingfisher County,5151,783,189,6123,REP
Oklahoma,Beckham County,6287,958,284,7529,REP
Oklahoma,Seminole County,5612,2067,353,8032,REP
Oklahoma,Canadian County,39969,11666,3615,55250,REP
Oklahoma,Creek County,21539,5834,1413,28786,REP
Oklahoma,Garfield County,15998,4391,1303,21692,REP
Oklahoma,Haskell County,3697,882,155,4734,REP
Oklahoma,Pottawatomie County,17826,6005,1586,25417,REP
Oklahoma,Texas County,4615,855,301,5771,REP
Oklahoma,Harmon County,714,224,37,975,REP
Oklahoma,Beaver County,1987,176,74,2237,REP
Oklahoma,Coal County,1892,411,90,2393,REP
Oklahoma,Greer County,1482,323,91,1896,REP
Oklahoma,Tillman County,1944,657,105,2706,REP
Oklahoma,McClain County,13151,2893,795,16839,REP
Oklahoma,Pawnee County,4716,1341,289,6346,REP
Oklahoma,Sequoyah County,10888,3061,488,14437,REP
Oklahoma,Harper County,1307,131,47,1485,REP
Oklahoma,Custer County,7818,2102,611,10531,REP
Oklahoma,Ellis County,1610,155,61,1826,REP
Oklahoma,Grady County,17293,3878,1086,22257,REP
Oklahoma,Muskogee County,15029,7969,1195,24193,REP
Oklahoma,Alfalfa County,1931,216,109,2256,DEM
Oklahoma,Blaine County,2884,711,198,3793,REP
Oklahoma,Johnston County,3081,782,138,4001,REP
Oklahoma,Osage County,12559,5593,790,18942,REP
Oklahoma,Kay County,12168,3734,893,16795,REP
Oklahoma,Okmulgee County,8926,4379,619,13924,REP
Oklahoma,Roger Mills County,1546,151,61,1758,REP
Oklahoma,Lincoln County,10838,2423,740,14001,REP
Oklahoma,Woods County,2945,521,199,3665,REP
Oklahoma,McIntosh County,5501,2122,335,7958,REP
Oklahoma,Washita County,3851,588,189,4628,REP
Oklahoma,Comanche County,19153,11439,1912,32504,REP
Oklahoma,Carter County,13751,4002,780,18533,REP
Oklahoma,Craig County,4279,1249,250,5778,REP
Oklahoma,Jefferson County,1905,365,75,2345,REP
Oklahoma,Cleveland County,62469,38790,8067,109326,REP
Oklahoma,Tulsa County,143985,87663,14909,246557,REP
Oklahoma,Washington County,15810,5047,1351,22208,REP
Oklahoma,Cherokee County,9992,5455,1040,16487,REP
Oklahoma,Cimarron County,962,70,45,1077,REP
