State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Oregon,Gilliam County,632,221,78,937,REP
Oregon,Linn County,32683,17456,3301,54724,REP
Oregon,Morrow County,2698,1004,235,3989,REP
Oregon,Union County,8378,3221,668,12465,REP
Oregon,Crook County,8388,2591,504,11638,REP
Oregon,Wallowa County,2825,1097,173,4177,REP
Oregon,Jefferson County,5337,2892,471,8874,REP
Oregon,Lake County,3001,628,145,3814,REP
Oregon,Clackamas County,79062,90187,9530,182136,DEM
Oregon,Coos County,17699,10355,1383,30181,REP
Oregon,Sherman County,726,202,44,983,REP
Oregon,Deschutes County,43667,40222,4836,90584,REP
Oregon,Baker County,6160,1781,405,8479,REP
Oregon,Benton County,13030,28431,2588,45577,DEM
Oregon,Hood River County,3223,6359,502,10383,DEM
Oregon,Jackson County,53083,43550,4248,103789,REP
Oregon,Malheur County,7141,2213,422,9950,REP
Oregon,Umatilla County,16775,7466,1404,26116,REP
Oregon,Lincoln County,9901,12300,1106,24035,DEM
Oregon,Josephine County,26582,13223,1779,42613,REP
Oregon,Tillamook County,6486,5701,750,13261,REP
Oregon,Grant County,3187,732,205,4171,REP
Oregon,Lane County,66218,100497,8285,181072,DEM
Oregon,Wasco County,5721,4634,665,11251,REP
Oregon,Washington County,75903,137818,13334,232034,DEM
Oregon,Wheeler County,583,153,46,792,REP
Oregon,Marion County,54336,48803,5495,110804,REP
Oregon,Columbia County,12967,9959,1601,25077,REP
Oregon,Polk County,18333,15741,2105,37030,REP
Oregon,Curry County,7157,4253,487,12163,REP
Oregon,Clatsop County,7794,8899,926,18158,DEM
Oregon,Klamath County,20170,7080,1494,29240,REP
Oregon,Douglas County,34112,13891,2359,51350,REP
Oregon,Harney County,2904,682,222,3850,REP
Oregon,Multnomah County,63055,271754,11570,357762,DEM
Oregon,Yamhill County,22589,18635,2940,45116,REP
