State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Pennsylvania,Delaware County,106559,169169,5650,284832,DEM
Pennsylvania,Forest County,1680,626,60,2398,REP
Pennsylvania,Lawrence County,25323,13933,860,40555,REP
Pennsylvania,Crawford County,23912,10215,986,35563,REP
Pennsylvania,Mercer County,30034,17631,1297,49594,REP
Pennsylvania,Washington County,58941,34436,2553,96945,REP
Pennsylvania,Berks County,93094,75169,5016,175934,REP
Pennsylvania,Adams County,31249,14077,1222,47138,REP
Pennsylvania,Carbon County,18714,8917,686,28721,REP
Pennsylvania,McKean County,11159,3802,393,15572,REP
Pennsylvania,Montgomery County,160803,251063,10764,427489,DEM
Pennsylvania,Westmoreland County,116427,59506,4323,181740,REP
Pennsylvania,Wyoming County,8375,3573,305,12418,REP
Pennsylvania,Fayette County,34388,17826,839,53426,REP
Pennsylvania,Lehigh County,70285,77087,3795,153031,DEM
Pennsylvania,Perry County,15613,4630,619,21153,REP
Pennsylvania,Philadelphia County,105418,560542,6786,680227,DEM
Pennsylvania,York County,126933,67428,6376,203153,REP
Pennsylvania,Allegheny County,257488,363017,15854,643173,DEM
Pennsylvania,Bedford County,19455,3613,259,23504,REP
Pennsylvania,Jefferson County,14533,3437,404,18551,REP
Pennsylvania,Montour County,5274,2851,287,8535,REP
Pennsylvania,Susquehanna County,13295,5065,559,19200,REP
Pennsylvania,Bucks County,163873,165861,8500,342572,DEM
Pennsylvania,Dauphin County,60620,64287,3459,130160,DEM
Pennsylvania,Fulton County,5676,904,93,6743,REP
Pennsylvania,Blair County,37224,13093,1188,52029,REP
Pennsylvania,Bradford County,17957,6263,875,25399,REP
Pennsylvania,Lycoming County,35475,12926,1291,50294,REP
Pennsylvania,Clarion County,12545,4256,466,17481,REP
Pennsylvania,Cumberland County,65649,44282,3720,115068,REP
Pennsylvania,Erie County,57168,54820,3689,117240,REP
Pennsylvania,Greene County,10394,4157,263,14955,REP
Pennsylvania,Potter County,6247,1300,165,7777,REP
Pennsylvania,Sullivan County,2318,756,65,3168,REP
Pennsylvania,Beaver County,46081,30225,1914,79036,REP
Pennsylvania,Cambria County,40510,17798,1216,60167,REP
Pennsylvania,Huntingdon County,14369,4487,414,19496,REP
Pennsylvania,Pike County,16035,9247,487,26066,REP
Pennsylvania,Butler County,61388,26834,2856,92027,REP
Pennsylvania,Cameron County,1495,469,50,2024,REP
Pennsylvania,Columbia County,17387,8502,841,27127,REP
Pennsylvania,Franklin County,49554,17322,1689,69345,REP
Pennsylvania,Mifflin County,14050,3563,473,18239,REP
Pennsylvania,Clinton County,9701,4533,450,14839,REP
Pennsylvania,Northampton County,71384,65936,3647,142775,REP
Pennsylvania,Lackawanna County,48102,51593,1903,102740,DEM
Pennsylvania,Somerset County,27347,7367,676,35730,REP
Pennsylvania,Centre County,35099,36555,2609,75394,DEM
Pennsylvania,Luzerne County,77508,51454,2287,132731,REP
Pennsylvania,Indiana County,24920,11468,924,37728,REP
Pennsylvania,Clearfield County,23909,7700,741,32692,REP
Pennsylvania,Snyder County,11710,3991,451,16333,REP
Pennsylvania,Union County,10605,6138,444,17400,REP
Pennsylvania,Venango County,15254,5889,688,22096,REP
Pennsylvania,Wayne County,15269,6398,420,22365,REP
Pennsylvania,Elk County,9704,3637,371,13854,REP
Pennsylvania,Northumberland County,24418,9184,907,34971,REP
Pennsylvania,Tioga County,12928,3642,517,17334,REP
Pennsylvania,Juniata County,8234,1810,200,10402,REP
Pennsylvania,Lancaster County,137145,90066,8437,239151,REP
Pennsylvania,Lebanon County,38804,17860,1557,58906,REP
Pennsylvania,Monroe County,31706,31930,1407,65944,DEM
Pennsylvania,Warren County,12032,4828,525,17624,REP
Pennsylvania,Armstrong County,22676,6849,661,30446,REP
Pennsylvania,Schuylkill County,43937,16724,1406,62750,REP
Pennsylvania,Chester County,115582,140188,7818,266637,DEM
