State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
South Carolina,Beaufort County,39986,29577,1859,72770,REP
South Carolina,Spartanburg County,76101,39888,2436,120793,REP
South Carolina,Cherokee County,15165,6089,242,21754,REP
South Carolina,Darlington County,14973,13866,385,29636,REP
South Carolina,Williamsburg County,4863,9949,84,15049,DEM
South Carolina,Berkeley County,44223,30492,2461,78919,REP
South Carolina,Marlboro County,4257,5928,70,10353,DEM
South Carolina,Laurens County,16770,8845,373,26474,REP
South Carolina,Bamberg County,2197,3886,51,6195,DEM
South Carolina,Lancaster County,23598,13718,760,38717,REP
South Carolina,Richland County,52753,108401,3935,169400,DEM
South Carolina,Aiken County,45981,25426,1796,74773,REP
South Carolina,Greenville County,125595,73338,6399,211572,REP
South Carolina,Fairfield County,4024,6936,119,11252,DEM
South Carolina,Georgetown County,17334,13234,497,31519,REP
South Carolina,Kershaw County,17464,10293,559,28875,REP
South Carolina,McCormick County,2651,2479,47,5215,REP
South Carolina,Abbeville County,6742,3712,128,10724,REP
South Carolina,Dorchester County,34932,24010,2048,62463,REP
South Carolina,Greenwood County,16881,10633,579,28600,REP
South Carolina,Oconee County,24096,7979,722,33530,REP
South Carolina,Sumter County,18733,24024,641,44048,DEM
South Carolina,Pickens County,36096,10327,1189,48871,REP
South Carolina,Allendale County,788,2722,22,3578,DEM
South Carolina,Clarendon County,7246,7635,125,15156,DEM
South Carolina,Horry County,83819,36731,2136,124503,REP
South Carolina,Orangeburg County,11909,26258,307,38824,DEM
South Carolina,Hampton County,3483,5163,69,8794,DEM
South Carolina,Jasper County,6100,7789,159,14216,DEM
South Carolina,Marion County,5434,8522,103,14217,DEM
South Carolina,Calhoun County,3785,3569,105,7553,REP
South Carolina,Saluda County,5525,2809,105,8559,REP
South Carolina,Union County,7058,4727,137,12087,REP
South Carolina,York County,66245,41230,3468,113425,REP
South Carolina,Lee County,2789,5170,61,8110,DEM
South Carolina,Newberry County,10011,6212,312,16795,REP
South Carolina,Anderson County,56109,21040,1589,80296,REP
South Carolina,Barnwell County,4888,4395,87,9479,REP
South Carolina,Lexington County,79866,35143,3574,121829,REP
South Carolina,Charleston County,75233,89048,7263,175850,DEM
South Carolina,Colleton County,9083,7616,262,17231,REP
South Carolina,Dillon County,5637,5832,79,11696,DEM
South Carolina,Chester County,7272,6582,175,14202,REP
South Carolina,Chesterfield County,9576,7125,195,17128,REP
South Carolina,Florence County,29498,26630,850,57770,REP
South Carolina,Edgefield County,6842,4491,152,11644,REP
