State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Tennessee,Giles County,7964,2915,162,11120,REP
Tennessee,Haywood County,3010,3704,60,6824,DEM
Tennessee,Henderson County,8118,1796,170,10172,REP
Tennessee,Jackson County,3229,1129,62,4447,REP
Tennessee,McMinn County,14673,3507,339,18694,REP
Tennessee,Van Buren County,1820,539,46,2417,REP
Tennessee,Hamblen County,15839,4075,443,20579,REP
Tennessee,Hawkins County,16611,3502,396,20694,REP
Tennessee,Chester County,3827,902,95,4850,REP
Tennessee,Lincoln County,10375,2550,229,13270,REP
Tennessee,Monroe County,13361,3184,344,17050,REP
Tennessee,Scott County,6044,934,80,7123,REP
Tennessee,Greene County,18538,4211,479,23491,REP
Tennessee,Campbell County,9860,2248,251,12504,REP
Tennessee,Humphreys County,4928,1967,166,7139,REP
Tennessee,Meigs County,3337,856,77,4311,REP
Tennessee,Dickson County,13213,4718,487,18619,REP
Tennessee,Sullivan County,45577,11910,1704,59860,REP
Tennessee,Wilson County,39304,14356,1801,56286,REP
Tennessee,Unicoi County,5666,1260,139,7166,REP
Tennessee,Anderson County,19201,9010,1033,29723,REP
Tennessee,DeKalb County,5164,1566,117,6940,REP
Tennessee,Dyer County,10175,2815,193,13290,REP
Tennessee,Rhea County,8650,1942,221,10946,REP
Tennessee,Carter County,16897,3453,409,20993,REP
Tennessee,Maury County,23781,10026,921,35068,REP
Tennessee,Tipton County,16893,5779,484,23372,REP
Tennessee,Hardin County,8012,1622,134,9949,REP
Tennessee,Lake County,1357,577,18,1970,REP
Tennessee,Marshall County,8167,2848,255,11402,REP
Tennessee,Morgan County,5429,1053,115,6664,REP
Tennessee,Robertson County,19393,6634,717,27042,REP
Tennessee,Sequatchie County,4434,1051,127,5667,REP
Tennessee,Benton County,4715,1474,83,6322,REP
Tennessee,Macon County,6260,1071,91,7490,REP
Tennessee,Claiborne County,8589,1831,190,10706,REP
Tennessee,Warren County,9535,3535,339,13565,REP
Tennessee,Wayne County,5034,717,56,5842,REP
Tennessee,Sevier County,28610,6293,915,36180,REP
Tennessee,Roane County,15863,4833,596,21580,REP
Tennessee,Union County,5024,1010,108,6204,REP
Tennessee,Smith County,5485,1688,171,7410,REP
Tennessee,Williamson County,68160,30992,4510,104700,REP
Tennessee,Crockett County,3977,1302,76,5386,REP
Tennessee,Decatur County,3580,894,70,4577,REP
Tennessee,Franklin County,11526,4372,319,16363,REP
Tennessee,Grundy County,3626,998,80,4750,REP
Tennessee,Trousdale County,2099,943,72,3142,REP
Tennessee,Cannon County,4006,1126,106,5299,REP
Tennessee,Cumberland County,20410,5202,471,26298,REP
Tennessee,Obion County,9525,2425,193,12223,REP
Tennessee,Fentress County,6032,1100,107,7311,REP
Tennessee,Lewis County,3579,890,59,4601,REP
Tennessee,Montgomery County,32320,21686,2336,57278,REP
Tennessee,Weakley County,9001,2770,220,12127,REP
Tennessee,Blount County,37385,12085,1661,51849,REP
Tennessee,McNairy County,7839,1847,150,10035,REP
Tennessee,Hardeman County,4912,4174,84,9242,REP
Tennessee,Moore County,2325,496,71,2926,REP
Tennessee,Overton County,6055,1943,111,8195,REP
Tennessee,Rutherford County,64428,36627,3910,106518,REP
Tennessee,Stewart County,3864,1222,147,5283,REP
Tennessee,Gibson County,13779,5255,304,19484,REP
Tennessee,Grainger County,6618,1154,126,7985,REP
Tennessee,Henry County,9483,3061,223,12887,REP
Tennessee,Knox County,105724,62861,7453,179266,REP
Tennessee,Washington County,34179,13003,1464,49411,REP
Tennessee,Perry County,2167,597,59,2855,REP
Tennessee,Polk County,5097,1252,114,6520,REP
Tennessee,Putnam County,18981,6847,756,26958,REP
Tennessee,Carroll County,7731,2323,181,10333,REP
Tennessee,Clay County,2140,707,47,2919,REP
Tennessee,Lauderdale County,4884,3656,87,8678,REP
Tennessee,White County,7657,1842,149,9776,REP
Tennessee,Hamilton County,78661,55260,5437,141088,REP
Tennessee,Hancock County,1842,322,42,2229,REP
Tennessee,Houston County,2180,865,88,3165,REP
Tennessee,Loudon County,17588,4916,573,23304,REP
Tennessee,Madison County,21321,15438,660,37764,REP
Tennessee,Bledsoe County,3621,896,95,4650,REP
Tennessee,Coffee County,14409,4741,515,19895,REP
Tennessee,Davidson County,84365,148473,9578,246199,DEM
Tennessee,Jefferson County,14760,3490,497,18994,REP
Tennessee,Johnson County,5400,988,102,6556,REP
Tennessee,Hickman County,5685,1823,161,7762,REP
Tennessee,Bedford County,11455,3384,306,15300,REP
Tennessee,Cheatham County,11295,3877,463,15823,REP
Tennessee,Fayette County,13046,5865,261,19306,REP
Tennessee,Lawrence County,12419,2821,271,15658,REP
Tennessee,Bradley County,29761,7070,1098,38392,REP
Tennessee,Marion County,7680,2829,220,10832,REP
Tennessee,Cocke County,9791,1980,211,12108,REP
Tennessee,Pickett County,2019,536,36,2609,REP
Tennessee,Shelby County,114948,206640,6830,331861,DEM
Tennessee,Sumner County,50105,18153,2101,71080,REP
