State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Texas,Pecos County,2463,1551,127,4167,REP
Texas,Rains County,3919,619,77,4630,REP
Texas,San Patricio County,13004,7825,571,21513,REP
Texas,Willacy County,1541,3416,94,5082,DEM
Texas,Yoakum County,1797,426,73,2299,REP
Texas,Kendall County,15663,3633,554,19936,REP
Texas,Marion County,2968,1156,69,4206,REP
Texas,Milam County,6340,2042,176,8607,REP
Texas,Mitchell County,1780,353,50,2190,REP
Texas,Kerr County,17658,4665,653,23090,REP
Texas,Kleberg County,4364,4713,314,9483,DEM
Texas,McLennan County,48245,27046,2491,78255,REP
Texas,Roberts County,524,20,6,550,REP
Texas,Smith County,58631,22128,2062,83161,REP
Texas,Young County,6587,873,179,7658,REP
Texas,Brooks County,613,1937,32,2596,DEM
Texas,Gonzales County,4580,1567,129,6304,REP
Texas,Hemphill County,1460,181,44,1687,REP
Texas,Parmer County,1911,848,55,2818,REP
Texas,San Augustine County,2620,907,30,3563,REP
Texas,Starr County,2218,9246,159,11691,DEM
Texas,Upshur County,13198,2378,283,15918,REP
Texas,Walker County,12878,6085,559,19683,REP
Texas,Cameron County,29432,59319,2231,91804,DEM
Texas,Harris County,544960,706471,39701,1302887,DEM
Texas,Hill County,10075,2535,256,12906,REP
Texas,Kent County,360,59,14,433,REP
Texas,Knox County,1078,247,28,1358,REP
Texas,Lamar County,14546,3579,343,18537,REP
Texas,Lee County,4996,1372,126,6522,REP
Texas,Leon County,6391,909,94,7407,REP
Texas,Loving County,57,4,1,64,REP
Texas,Stonewall County,555,135,10,701,REP
Texas,Brewster County,2073,1869,208,4226,REP
Texas,Chambers County,13278,2939,385,16661,REP
Texas,Cochran County,679,190,29,901,REP
Texas,Coleman County,3177,387,53,3635,REP
Texas,Fannin County,9536,2123,267,11972,REP
Texas,Lavaca County,7339,1170,112,8633,REP
Texas,Martin County,1453,266,31,1755,REP
Texas,Maverick County,2816,10397,266,13588,DEM
Texas,Menard County,681,153,25,860,REP
Texas,Morris County,3443,1425,77,4964,REP
Texas,Parker County,46433,8329,1437,56413,REP
Texas,Scurry County,4403,733,103,5261,REP
Texas,Wichita County,27609,8752,1296,37913,REP
Texas,Aransas County,7730,2458,238,10467,REP
Texas,Colorado County,6323,1977,144,8480,REP
Texas,Donley County,1225,190,40,1460,REP
Texas,Orange County,25385,5716,545,31761,REP
Texas,Panola County,8445,1835,109,10413,REP
Texas,Upton County,961,284,48,1296,REP
Texas,Wise County,20655,3412,503,24661,REP
Texas,Zapata County,1028,2056,34,3134,DEM
Texas,Baylor County,1267,191,31,1492,REP
Texas,Bexar County,240161,319191,20053,586038,DEM
Texas,Austin County,9637,2319,248,12255,REP
Texas,Bell County,51780,37608,3800,93999,REP
Texas,Borden County,330,31,3,365,REP
Texas,Burleson County,5316,1491,118,6945,REP
Texas,Dallam County,1258,222,46,1535,REP
Texas,Dallas County,261865,458845,23854,750649,DEM
Texas,DeWitt County,5510,1161,124,6822,REP
Texas,Erath County,11205,2159,378,13810,REP
Texas,Franklin County,3583,665,96,4356,REP
Texas,Guadalupe County,36495,18308,2008,57220,REP
Texas,McMullen County,454,40,2,497,REP
Texas,Montague County,7526,885,170,8604,REP
Texas,Presidio County,652,1458,64,2203,DEM
Texas,Angelina County,21666,7538,560,29870,REP
Texas,Bee County,4743,3443,238,8458,REP
Texas,Briscoe County,625,91,14,734,REP
Texas,Comal County,44996,14166,2062,61567,REP
Texas,Falls County,3438,1682,90,5232,REP
Texas,Fayette County,8648,2127,209,11029,REP
Texas,Floyd County,1473,435,47,1958,REP
Texas,Frio County,1232,1401,37,2683,DEM
Texas,Hockley County,5793,1257,199,7282,REP
Texas,Jeff Davis County,694,422,42,1175,REP
Texas,Robertson County,4665,2203,125,7010,REP
Texas,Shelby County,7171,1757,123,9072,REP
Texas,Terrell County,287,140,10,437,REP
Texas,Uvalde County,4828,3863,191,8936,REP
Texas,Brown County,12010,1621,253,13949,REP
