State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Utah,Millard County,3860,431,108,5234,DEM
Utah,Davis County,46985,22575,3917,104661,REP
Utah,Summit County,7160,10251,736,20133,DEM
Utah,Tooele County,9693,4015,672,18905,REP
Utah,Garfield County,1577,352,60,2294,REP
Utah,Wayne County,959,271,17,1410,REP
Utah,Emery County,3402,379,70,4263,DEM
Utah,Wasatch County,6115,3063,409,12120,REP
Utah,Iron County,10025,2104,462,15354,REP
Utah,Beaver County,1838,264,36,2490,REP
Utah,Utah County,89755,24579,5401,174942,REP
Utah,Salt Lake County,117901,154831,13439,361347,DEM
Utah,San Juan County,2635,1997,163,5385,REP
Utah,Carbon County,5182,1696,188,7818,REP
Utah,Kane County,2248,739,86,3482,REP
Utah,Piute County,537,31,10,617,REP
Utah,Uintah County,9876,1002,274,12883,REP
Utah,Rich County,786,104,21,1096,DEM
Utah,Weber County,38447,22187,3201,81451,REP
Utah,Box Elder County,10324,1814,513,16548,REP
Utah,Juab County,2759,436,70,4076,REP
Utah,Duchesne County,5505,500,107,6932,REP
Utah,Sevier County,6455,673,168,8308,DEM
Utah,Sanpete County,6436,1026,178,9778,REP
Utah,Morgan County,3156,572,140,5136,REP
Utah,Cache County,16643,6705,1158,35879,REP
Utah,Washington County,39566,9583,1343,57494,REP
Utah,Daggett County,327,76,17,465,REP
Utah,Grand County,1934,1932,178,4456,REP
