State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Vermont,Franklin County,8752,9351,836,19373,DEM
Vermont,Grand Isle County,1487,2094,131,3778,DEM
Vermont,Rutland County,12471,13629,946,27660,DEM
Vermont,Lamoille County,3570,7241,457,11641,DEM
Vermont,Windsor County,8604,17544,931,27832,DEM
Vermont,Chittenden County,18298,54463,2443,77263,DEM
Vermont,Orange County,4997,7522,509,13464,DEM
Vermont,Caledonia County,5533,6445,578,12966,DEM
Vermont,Windham County,5462,14340,582,21151,DEM
Vermont,Bennington County,5925,9539,478,16345,DEM
Vermont,Addison County,5297,11217,638,17592,DEM
Vermont,Essex County,1506,1019,121,2706,REP
Vermont,Washington County,7993,18594,999,28654,DEM
Vermont,Orleans County,5158,5181,398,10988,DEM
