State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Washington,Grays Harbor County,13269,11378,1332,26736,REP
Washington,Columbia County,1491,523,107,2171,REP
Washington,Benton County,45594,25173,4602,76907,REP
Washington,Whatcom County,40247,59402,4745,108223,DEM
Washington,Chelan County,15070,10770,1063,27415,REP
Washington,Mason County,13539,11872,1528,27767,REP
Washington,Franklin County,11358,7839,981,20584,REP
Washington,Thurston County,46219,65015,6837,122301,DEM
Washington,Asotin County,5712,3118,619,9684,REP
Washington,Cowlitz County,24066,17842,2326,45485,REP
Washington,Island County,18259,20766,2284,42425,DEM
Washington,Okanogan County,6305,3980,369,10893,REP
Washington,Ferry County,2178,1091,185,3560,REP
Washington,Garfield County,841,276,87,1232,REP
Washington,King County,197781,657149,36277,910823,DEM
Washington,Clark County,90590,90697,9773,195784,DEM
Washington,Jefferson County,5986,12556,733,20100,DEM
Washington,Stevens County,11059,4348,677,16438,REP
Washington,Klickitat County,5390,3781,403,9859,REP
Washington,Pierce County,136046,160306,18066,322592,DEM
Washington,Kitsap County,46762,60561,8031,118625,DEM
Washington,Snohomish County,116433,167943,17132,309496,DEM
Washington,Skamania County,2910,2207,278,5587,REP
Washington,Yakima County,39593,28484,2928,72306,REP
Washington,Pacific County,5338,4597,435,10667,REP
Washington,Pend Oreille County,4364,1932,321,6788,REP
Washington,Whitman County,5462,5521,807,12128,DEM
Washington,San Juan County,2651,7053,384,10589,DEM
Washington,Skagit County,24330,26076,3009,54831,DEM
Washington,Kittitas County,9845,7190,868,18334,REP
Washington,Spokane County,103846,86590,11758,208081,REP
Washington,Wahkiakum County,1328,824,110,2333,REP
Washington,Lewis County,16273,7236,995,24995,REP
Washington,Walla Walla County,10775,7550,970,19718,REP
Washington,Douglas County,7208,3600,463,11467,REP
Washington,Adams County,2740,1118,156,4081,REP
Washington,Grant County,18482,7768,1379,28260,REP
Washington,Lincoln County,4095,1238,250,5692,REP
Washington,Clallam County,15685,15154,1331,32985,REP
