State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
West Virginia,Gilmer County,1889,537,68,2528,REP
West Virginia,Hampshire County,6646,1576,195,8557,REP
West Virginia,Tucker County,2557,750,101,3464,REP
West Virginia,Wood County,25168,8327,1251,35256,REP
West Virginia,Logan County,9866,2082,235,12315,REP
West Virginia,Wayne County,11077,3334,420,15080,REP
West Virginia,Hancock County,8870,3247,367,12642,REP
West Virginia,Harrison County,18687,7675,1035,27868,REP
West Virginia,Monroe County,4337,1089,147,5670,REP
West Virginia,Randolph County,7583,2724,338,10816,REP
West Virginia,Braxton County,3516,1315,157,5063,REP
West Virginia,Cabell County,19648,11306,1182,32701,REP
West Virginia,Lincoln County,5257,1435,187,6988,REP
West Virginia,Wyoming County,6527,1061,136,7809,REP
West Virginia,Jefferson County,13144,9458,992,24007,REP
West Virginia,Pocahontas County,2474,924,149,3619,REP
West Virginia,Barbour County,4509,1213,212,6024,REP
West Virginia,Mingo County,7876,1365,145,9469,REP
West Virginia,Morgan County,5718,1568,208,7635,REP
West Virginia,Clay County,2289,566,60,2958,REP
West Virginia,Greenbrier County,9499,3743,472,13984,REP
West Virginia,Mineral County,8957,2019,276,11410,REP
West Virginia,Nicholas County,7169,1821,279,9385,REP
West Virginia,Pendleton County,2388,726,73,3212,REP
West Virginia,Taylor County,4701,1483,194,6498,REP
West Virginia,Summers County,3444,1186,137,4847,REP
West Virginia,Wetzel County,4461,1348,242,6191,REP
West Virginia,Monongalia County,18278,14568,1807,35733,REP
West Virginia,Tyler County,2967,505,102,3621,REP
West Virginia,Berkeley County,28210,12287,1617,42770,REP
West Virginia,Hardy County,4544,1249,149,6022,REP
West Virginia,Roane County,3772,1220,141,5234,REP
West Virginia,Doddridge County,2347,360,64,2826,REP
West Virginia,Brooke County,6574,2549,296,9540,REP
West Virginia,Upshur County,6971,1763,310,9180,REP
West Virginia,Calhoun County,2023,456,63,2604,REP
West Virginia,Mason County,7597,2069,275,10115,REP
West Virginia,Wirt County,1903,383,84,2410,REP
West Virginia,McDowell County,4614,1429,90,6179,REP
West Virginia,Mercer County,17362,4689,549,22919,REP
West Virginia,Putnam County,17455,5784,811,24443,REP
West Virginia,Ritchie County,3376,490,105,4040,REP
West Virginia,Kanawha County,43464,27985,2476,74996,REP
West Virginia,Preston County,9501,2462,427,12611,REP
West Virginia,Raleigh County,21835,6362,675,29311,REP
West Virginia,Boone County,6483,1783,246,8654,REP
West Virginia,Grant County,4338,510,65,4945,REP
West Virginia,Pleasants County,2342,620,120,3130,REP
West Virginia,Jackson County,8959,2648,302,12108,REP
West Virginia,Marion County,14592,6926,894,22910,REP
West Virginia,Fayette County,10263,4246,434,15187,REP
West Virginia,Lewis County,5245,1336,207,6885,REP
West Virginia,Marshall County,9565,2894,414,13083,REP
West Virginia,Ohio County,11077,5452,738,17819,REP
West Virginia,Webster County,2284,554,79,2955,REP
