State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Wisconsin,Buffalo County,4049,2531,218,6921,REP
Wisconsin,Lafayette County,3977,3288,238,7602,REP
Wisconsin,Washburn County,5404,3283,267,9059,REP
Wisconsin,Langlade County,6436,3260,279,10093,REP
Wisconsin,Shawano County,12742,6056,603,19697,REP
Wisconsin,Kenosha County,36025,35770,2731,75825,REP
Wisconsin,La Crosse County,26384,32402,2673,62785,DEM
Wisconsin,Lincoln County,8400,5370,595,14563,REP
Wisconsin,Kewaunee County,6616,3623,348,10742,REP
Wisconsin,Racine County,46620,42506,3246,93678,REP
Wisconsin,Waupaca County,16013,8303,793,25491,REP
Wisconsin,Dodge County,26643,13968,1539,42818,REP
Wisconsin,Florence County,1897,666,64,2651,REP
Wisconsin,Marathon County,39010,26476,2330,68849,REP
Wisconsin,Marinette County,12995,6243,507,19979,REP
Wisconsin,Pepin County,2228,1345,115,3746,REP
Wisconsin,Barron County,13595,7881,726,22514,REP
Wisconsin,Clark County,8645,4225,446,13548,REP
Wisconsin,Calumet County,15345,9634,1052,26429,REP
Wisconsin,Green Lake County,6210,2700,274,9315,REP
Wisconsin,Douglas County,9657,11342,723,22185,DEM
Wisconsin,Fond du Lac County,31044,17391,1910,51094,REP
Wisconsin,Rusk County,4564,2171,189,7029,REP
Wisconsin,Crawford County,3844,3426,277,7678,REP
Wisconsin,Dunn County,11487,9025,1094,22029,REP
Wisconsin,Marquette County,4712,2808,187,7813,REP
Wisconsin,Oconto County,13255,5886,569,19924,REP
Wisconsin,Wood County,21502,14232,1364,37712,REP
Wisconsin,Manitowoc County,23234,14563,1559,39991,REP
Wisconsin,Chippewa County,17912,11875,1207,31471,REP
Wisconsin,Jefferson County,23409,16559,1660,42324,REP
Wisconsin,Oneida County,11677,8103,751,20837,REP
Wisconsin,Sawyer County,4625,2846,188,7767,REP
Wisconsin,Sheboygan County,32368,22636,2320,58290,REP
Wisconsin,Trempealeau County,7370,5645,372,13581,REP
Wisconsin,Vilas County,8169,4769,340,13453,REP
Wisconsin,Dane County,71270,217506,10544,304729,DEM
Wisconsin,Forest County,2787,1583,80,4507,REP
Wisconsin,Green County,8693,9121,687,18791,DEM
Wisconsin,Ozaukee County,30458,20167,2111,53368,REP
Wisconsin,Waushara County,7669,3802,314,11961,REP
Wisconsin,Bayfield County,4125,4953,186,9491,DEM
Wisconsin,Brown County,67192,53358,4982,127497,REP
Wisconsin,Juneau County,7188,4100,286,11736,REP
Wisconsin,Milwaukee County,126091,288986,13589,434970,DEM
Wisconsin,Polk County,13864,7568,886,22691,REP
Wisconsin,Winnebago County,43447,37054,3820,85892,REP
Wisconsin,Door County,8584,8026,558,17398,REP
Wisconsin,Iron County,2090,1273,72,3477,REP
Wisconsin,Menominee County,269,1003,0,1279,DEM
Wisconsin,Taylor County,6589,2398,279,9417,REP
Wisconsin,Burnett County,5412,2948,229,8719,REP
Wisconsin,Grant County,12347,10047,1167,24051,REP
Wisconsin,Washington County,51729,20854,2745,76246,REP
Wisconsin,Outagamie County,49884,38087,3931,93474,REP
Wisconsin,St. Croix County,26123,17496,2338,46819,REP
Wisconsin,Iowa County,4809,6669,456,12123,DEM
Wisconsin,Monroe County,11442,7047,701,19554,REP
Wisconsin,Pierce County,11260,8380,1044,21089,REP
Wisconsin,Price County,4562,2671,199,7560,REP
Wisconsin,Waukesha County,142521,79200,8891,233273,REP
Wisconsin,Richland County,4021,3577,219,7962,REP
Wisconsin,Columbia County,14160,13525,1092,29287,REP
Wisconsin,Portage County,17310,18524,1490,38123,DEM
Wisconsin,Rock County,31483,39336,2859,75043,DEM
Wisconsin,Sauk County,14791,14692,1106,31238,REP
Wisconsin,Eau Claire County,23301,27271,2500,54080,DEM
Wisconsin,Jackson County,4907,3821,300,9202,REP
Wisconsin,Vernon County,6994,6351,447,14193,REP
Wisconsin,Ashland County,3428,4136,182,7926,DEM
Wisconsin,Adams County,5983,3780,207,10107,REP
Wisconsin,Walworth County,28848,18706,2116,50570,REP
