State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Wyoming,Niobrara County,1116,115,49,1297,REP
Wyoming,Albany County,7601,6888,1391,16420,REP
Wyoming,Teton County,3920,7313,701,12176,DEM
Wyoming,Carbon County,4409,1279,381,6200,REP
Wyoming,Washakie County,2911,532,194,3715,REP
Wyoming,Sublette County,3409,644,169,4297,REP
Wyoming,Hot Springs County,1939,400,136,2535,REP
Wyoming,Uinta County,6154,1202,472,8053,REP
Wyoming,Campbell County,15778,1324,653,17935,REP
Wyoming,Sheridan County,10266,2926,729,14187,REP
Wyoming,Platte County,3437,719,180,4460,REP
Wyoming,Converse County,5520,668,251,6552,REP
Wyoming,Lincoln County,6779,1105,331,8398,REP
Wyoming,Park County,11115,2535,625,14634,REP
Wyoming,Crook County,3347,271,118,3771,REP
Wyoming,Johnson County,3477,638,174,4349,REP
Wyoming,Laramie County,24844,11572,2656,39945,REP
Wyoming,Big Horn County,4067,594,250,5079,REP
Wyoming,Fremont County,11167,4200,773,16543,REP
Wyoming,Goshen County,4418,924,234,5708,REP
Wyoming,Sweetwater County,12153,3233,928,16661,REP
Wyoming,Natrona County,23523,6573,1787,32493,REP
Wyoming,Weston County,2898,294,103,3334,REP
