State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
North Carolina,Cherokee County,10711,2809,340,13860,REP
North Carolina,Hertford County,3081,6886,133,10100,DEM
North Carolina,Jackson County,9706,7564,734,18004,REP
North Carolina,Lenoir County,13354,11752,394,25500,REP
North Carolina,Montgomery County,7070,4108,271,11449,REP
North Carolina,Polk County,6738,3715,270,10723,REP
North Carolina,McDowell County,14517,4645,395,19557,REP
North Carolina,Orange County,18373,59105,2352,79830,DEM
North Carolina,Cleveland County,28394,14896,847,44137,REP
North Carolina,Beaufort County,14478,8699,422,23599,REP
North Carolina,Granville County,13500,12827,593,26920,REP
North Carolina,Hoke County,7676,9608,563,17847,DEM
North Carolina,Mitchell County,6225,1585,138,7948,REP
North Carolina,Moore County,30273,16148,1325,47746,REP
North Carolina,Sampson County,14761,10486,391,25638,REP
North Carolina,Stanly County,21788,7008,655,29451,REP
North Carolina,Columbus County,14177,8991,304,23472,REP
North Carolina,Pender County,17317,9086,669,27072,REP
North Carolina,Graham County,3260,761,73,4094,REP
North Carolina,Perquimans County,4143,2291,161,6595,REP
North Carolina,Swain County,3557,2186,239,5982,REP
North Carolina,Iredell County,54164,24441,2122,80727,REP
North Carolina,Anson County,4480,5785,129,10394,DEM
North Carolina,Caldwell County,26499,8403,845,35747,REP
North Carolina,Chatham County,17012,20953,1115,39080,DEM
North Carolina,Tyrrell County,968,705,27,1700,REP
North Carolina,Burke County,25741,10930,967,37638,REP
North Carolina,Craven County,27556,17481,1194,46231,REP
North Carolina,Gaston County,61467,30982,2423,94872,REP
North Carolina,Northampton County,3556,6113,92,9761,DEM
North Carolina,Washington County,2560,3490,65,6115,DEM
North Carolina,Haywood County,18844,10414,898,30156,REP
North Carolina,New Hanover County,54665,50219,3853,108737,REP
North Carolina,Wayne County,27360,21520,944,49824,REP
North Carolina,Clay County,4395,1352,138,5885,REP
North Carolina,Davidson County,52870,17328,1815,72013,REP
North Carolina,Durham County,27879,118783,3881,150543,DEM
North Carolina,Greene County,4358,3570,85,8013,REP
North Carolina,Henderson County,35535,19664,1611,56810,REP
North Carolina,Rockingham County,26463,14057,854,41374,REP
North Carolina,Alexander County,13826,3750,435,18011,REP
North Carolina,Brunswick County,42440,23117,1698,67255,REP
North Carolina,Chowan County,3983,2965,160,7108,REP
North Carolina,Duplin County,12151,8196,254,20601,REP
North Carolina,Pamlico County,4225,2427,120,6772,REP
North Carolina,Surry County,23495,7438,730,31663,REP
North Carolina,Warren County,3302,6668,153,10123,DEM
North Carolina,Cumberland County,50593,70523,3286,124402,DEM
North Carolina,Martin County,5874,5814,164,11852,REP
North Carolina,Mecklenburg County,154303,292258,15273,461834,DEM
North Carolina,Pasquotank County,8082,8455,427,16964,DEM
North Carolina,Person County,11116,7772,415,19303,REP
North Carolina,Stokes County,16976,4645,561,22182,REP
North Carolina,Wilkes County,23613,6596,635,30844,REP
North Carolina,Yancey County,6367,3181,260,9808,REP
North Carolina,Currituck County,9070,2879,474,12423,REP
North Carolina,Guilford County,97461,147949,6677,252087,DEM
North Carolina,Wake County,193607,298353,18980,510940,DEM
North Carolina,Bertie County,3476,5837,67,9380,DEM
North Carolina,Carteret County,26228,9806,885,36919,REP
North Carolina,Bladen County,8511,7021,211,15743,REP
North Carolina,Buncombe County,55339,74937,4231,134507,DEM
North Carolina,Richmond County,10199,8290,324,18813,REP
North Carolina,Yadkin County,13815,3140,395,17350,REP
North Carolina,Onslow County,36342,17156,1866,55364,REP
North Carolina,Rowan County,42388,19208,1482,63078,REP
North Carolina,Macon County,12035,4841,460,17336,REP
North Carolina,Nash County,23142,23024,737,46903,REP
North Carolina,Randolph County,49156,13074,1385,63615,REP
North Carolina,Harnett County,27278,16452,1225,44955,REP
North Carolina,Rutherford County,21694,7451,619,29764,REP
North Carolina,Transylvania County,10441,6520,479,17440,REP
North Carolina,Watauga County,13521,13953,1295,28769,DEM
North Carolina,Dare County,11283,7079,647,19009,REP
North Carolina,Edgecombe County,8219,16152,282,24653,DEM
North Carolina,Hyde County,1275,956,42,2273,REP
North Carolina,Scotland County,6212,7279,252,13743,DEM
North Carolina,Avery County,6226,1670,164,8060,REP
North Carolina,Cabarrus County,53224,35048,2730,91002,REP
North Carolina,Vance County,7304,12168,290,19762,DEM
North Carolina,Alamance County,38235,29268,1761,69264,REP
North Carolina,Ashe County,9353,3476,331,13160,REP
North Carolina,Catawba County,48062,21050,1953,71065,REP
North Carolina,Lincoln County,28653,9836,960,39449,REP
North Carolina,Madison County,6735,3899,332,10966,REP
North Carolina,Gates County,2851,2371,106,5328,REP
North Carolina,Wilson County,17410,19527,656,37593,DEM
North Carolina,Davie County,15502,5228,620,21350,REP
North Carolina,Pitt County,35191,40967,2106,78264,DEM
North Carolina,Robeson County,20294,18377,783,39454,REP
North Carolina,Caswell County,5758,4549,208,10515,REP
North Carolina,Forsyth County,74793,92488,5228,172509,DEM
North Carolina,Franklin County,16320,12811,771,29902,REP
North Carolina,Halifax County,8954,15642,285,24881,DEM
North Carolina,Lee County,13625,10380,671,24676,REP
North Carolina,Union County,66265,34051,3280,103596,REP
North Carolina,Alleghany County,3789,1300,125,5214,REP
North Carolina,Camden County,3527,1266,146,4939,REP
North Carolina,Johnston County,54082,28153,2318,84553,REP
North Carolina,Jones County,2941,2041,57,5039,REP
